作者Paul1021 (胡迪)看板Stock標題[請益] 股票停利後繼續漲再加倍買回是好策略嗎時間Fri Nov 17 18:35:14 2023
推 joygo       : 是 11/17 18:35
噓 lenz0729    : 只要別再買滷肉就好 11/17 19:31

噓 askaa       : 吠蚊唉低 11/17 19:39

→ may0723     : 股票問題我一律建議 All in 11/17 19:40

→ icehorng    : 4 11/17 19:41

→ adamk2      : 你確定買回後會繼續漲 就可以買啊 11/17 19:42

推 kitsune50   : 分手就不要再看了 11/17 19:43

→ kitsune50   : 除非對方過得不好 再撿回來 11/17 19:43

推 s56565566123: 老王台你沒看齁 沒買回來是你的問題 11/17 19:44

推 DevilEnvy   : 可以 阿榮高光時刻很多人這樣 11/17 19:44

推 zephyr105   : 停利減碼一半 崩了再全出 這樣不錯吧 11/17 19:44

推 molopo      : 如果知道 就借高利貸 玩選擇權了 11/17 19:44

推 knik119     : 有漲都是好策略 11/17 19:45

→ molopo      : 可能先想想看 賠多少可以接受 11/17 19:45

推 cute6666    : 然後就被套了 11/17 19:48

推 maye        : 然後就被套了 11/17 19:49

推 snac        : 反而應該買一半 加倍通常都很容易賠回來甚至更虧 11/17 19:50

推 baka1412    : 好 11/17 19:51

推 godchildtw  : 改成最高價回跌某條件的移動停利 11/17 19:53

推 bbdsdong    : 社會新聞不缺你這一則 11/17 19:55

→ godchildtw  : 去看看康舒今年股價突破歷史新高後，一堆人全面看 11/17 19:56

→ godchildtw  : 好追進的後果。 11/17 19:56

推 icehorng    : 就問你為什麼要停利？ 11/17 19:57

推 Gipmydanger : 停利原因：怕賺太多 11/17 20:02

→ Kenhon      : 你只會後悔買得太少 cc 11/17 20:07

推 zusuki      : 我建議買4倍，那麼好賺，不賺可惜 11/17 20:07

推 springman   : 我都低買高賣、大賠小賺，哈。 11/17 20:10

推 cancer6170  : 往上加碼總比往下攤平好吧 11/17 20:10

推 renewalhue  : 可以唷 這很韭菜 11/17 20:15

推 hunteryoyoyo: 是不是在說中鼎 11/17 20:15

推 lonelytea   : no 11/17 20:21

推 simon9331   : 用你原本的策略去判斷值不值得追高，不行的話就等 11/17 20:23

→ simon9331   : 下次。 11/17 20:23

推 g0t24568    : 我長榮18買 30賣 90買200賣220買... 11/17 20:23

推 hamzon      : 停損設定好嚴格執行，哪裡買都可以 11/17 20:25

推 bbignose    : 看到皇昌鎖住凍未條了吼 11/17 20:25

推 narf        : 莫忘緯創 11/17 20:32

推 johnyang    : 認真回 這策略會賺錢        其他人會賺錢 11/17 20:33

→ johnyang    : 停利後 評估會繼續漲 那還幹嘛停利 11/17 20:35

推 goodhpp     : 看你部位，不大就買頂多停損 11/17 20:42

推 IKnowWhy    : 這樣容易緯創套在160.. 11/17 20:43

→ goodhpp     : 通常先問，你為什麼買，FOMO就活該賠錢 11/17 20:43

推 good10740   : 你心態算好的，有的賣飛各種唱衰想買回 11/17 20:53

推 Ashand      : 請問股神 世芯買2xx 賣4xx 現在要追回嗎 11/17 20:54

推 horb        : 通常大戶就是要抓加倍買回來的 11/17 20:58

→ laechan     : 每一筆買賣都是獨立的 11/17 20:59

→ livestock   : 肯定把皇昌賣了齁 11/17 20:59

噓 guowei616   : 滾 快先把賺一滴滴就賣的中鼎追回來吧你 笑死 11/17 20:59

推 samper889   : 會問就要衝嘿 11/17 21:08

推 angelae086  : 想一下不買的理由是什麼 11/17 21:11

→ glmkk       : 可以 靠你抬轎 11/17 21:25

推 worshipyou  : 要賺大就要加碼啊，強勢股只會一直噴 11/17 21:26

→ oplk        : 加倍買  加倍套  讚喇！ 11/17 21:26

推 Kaken       : 單就這個行為來說並不是「策略」，你買回的時間點如 11/17 21:31

→ Kaken       : 果符合你的策略，你單一檔要出入幾次都沒差啊 11/17 21:31

→ s860703     : 有錢就追回來啊 11/17 21:46

→ ataky       : 如果沒漲你會馬上賣掉嗎 不賣的理由是什麼 11/17 21:47

推 lazycat5    : 買會漲的股票就對了 11/17 22:09

推 gkkcast     : 4 追高追突破，越高越富有。 11/17 22:19

→ Kenhon      : 買越貴賺越多 不要不信 cc 11/17 22:20

推 k91011022   : 營建股沒問題 11/17 22:24

推 bbignose    : 其實有道理，例如期貨，可以多幾口賺更多 11/17 22:58

推 seagod      : 如果跌回37呢？ 11/17 23:21

→ oooellis    : 問就是歐印 11/17 23:41

噓 NomoreSeven : 你買進的理由只有價格？ 11/18 00:03

推 inateriver  : 你怎麼知道會繼續漲？ 11/18 00:07

→ PuloBro     : 當下的決策不需要與過去的已實現獲利/虧損連結 11/18 00:37

噓 aro3810     : 你都知道會漲了，不歐印？ 11/18 00:51

推 anncesschen : 我之前買一檔股票本來加倍賺,後來以為會再飆,貪心又 11/18 07:06

→ anncesschen : 加碼,結果套3年到現在還沒解套。 11/18 07:06

噓 askaa       : ccc 11/18 07:44

推 qingun      : 回檔才買，一直漲上去的就放過它吧 11/18 08:14

→ worshipyou  : 追突破不是很基本的嗎 11/18 09:06

推 cosmite     : 然後就被套了 很有可能最後被套在高點 跟玩短線一 11/18 09:38

→ cosmite     : 樣 不知道停止 11/18 09:38

推 bearching   : 建議賣掉之後等不太買股票的人也吐出公司名再買 11/18 09:50

推 PC9527      : 等回檔買回來 11/18 12:33

推 tmdl        : 買回來會舒服就買 買回來不舒服就不買 11/18 13:34

→ Q987654321  : 尼可以問問牛頓 11/18 13:53

推 Ebergies    : 之前長榮如果真的賣在 45 應該會後悔到想死 11/18 16:28

推 ab1026430   : 用賺來的錢買 然後就丟著 11/18 17:04

噓 penny1119   : 11/19 01:03

推 sayme       : 除非你壓倒標股，不然股價越高 買張數應該要越少 11/19 07:42

噓 gokuhwanlai : 不對。。突破50再買 像我之前買鴻海130隔天大跌就 11/19 09:29

→ gokuhwanlai : 賣了 11/19 09:29

推 heliotropism: 有爽就出，射後不理 11/20 02:55

推 nenini      : 地球超人的圖有夠好笑 11/21 14:35
