作者charis (忘了如何遺忘)看板Stock標題[新聞] 台電啟動混氫燃燒 擬混5％氫入天然氣發電時間Sat Feb 18 13:59:00 2023
推 oven99      : 原來康舒在漲這個 02/18 14:01
推 foxbrush    : 台灣什麼時候反綠電了？活在平行時空嗎 02/18 15:15

→ TaiwanUp    : 氫氣來源很多 不只有燃煤 02/18 15:16

→ TaiwanUp    : 核能的維運成本很高 台灣在技術與地質都有隱形成本 02/18 15:18

→ lookinto    : 建議上面一些人不要一知半解就大放厥詞 胡亂批評 02/18 15:19

→ lookinto    : 先多查詢解讀 會贏得敬重 02/18 15:19

→ hbk5135     : 氫氣是甲烷重組 不然就是甲醇裂解 或水電解 不管哪 02/18 15:21

→ hbk5135     : 種方法產出 拿來燒都很浪費 02/18 15:21

→ FlynnZhang  : 齊柏林飛船有比史密斯飛船還要屌嗎 02/18 15:22

推 pisu        : 未來應該是太陽能綠電才是主流 02/18 15:22

噓 walter41    : 混越多虧越多... 02/18 15:29

推 qwe78971    : 台電會虧錢不是沒原因 02/18 15:29

推 HsihHan     : 我只知道燃氫會在發電系統產生多餘水分 對潤滑不利 02/18 15:31

推 Flyingheart : 過剩綠電？ 不要笑死 未來30年只會有供應不穩定的 02/18 15:31

→ Flyingheart : 綠電 不會過剩 02/18 15:31

→ Flyingheart : 要過剩等核能或地熱吧 太陽風就是不穩定 02/18 15:32

→ TaiwanUp    : 不穩定就是指會有短期過剩情形 所以要靠儲能系統 02/18 15:35

推 yoshilin    : 氫也可以視為一種電池，然後海島國家可以風力太陽 02/18 15:36

→ yoshilin    : 能電解氫來出口 02/18 15:36

推 lopwer      :  不用經過淡化處理，澳洲「海水製氫」更便宜也更快 02/18 15:38

→ lopwer      : 速 02/18 15:38

→ lopwer      : https://reurl.cc/Dm6kXR 02/18 15:38

推 jesiuty     : 不要成本搞得比天然氣高就搞笑了 02/18 15:49

推 TaiwanUp    : 0050公司有些在做全民電廠 售電投報率5~8% 可抗停電 02/18 15:50

推 TaiwanUp    : 但比較適合透天或小公寓 02/18 15:52

推 leochang    : 開發地熱太困難了...地底下看不到 02/18 15:57

推 Retangle    : 法律系部長主持減碳作業 厲害了 02/18 16:01

推 AndyMAX     : 聯華兄弟利多 噴 02/18 16:09

推 denow0208   : 反風電的智×一堆啦，跟之前酸太陽能的一樣，太陽 02/18 16:13

→ denow0208   : 能現在發一堆電以後這些xx才閉嘴 02/18 16:13

→ yaqw        : 怎麼不說國外核電跟其他綠能並行 台灣只想廢核 02/18 16:16

推 Ron51320    : 混得不好不怕不穩定炸了嗎？ 02/18 16:28

推 springman   : 現有核電廠的除役時間都愈來愈近，沒有新的核電廠就 02/18 16:28

→ springman   : 自然會廢核電了。 02/18 16:29

推 rahim       : 板上主流本來就是挺核反綠能吧 02/18 16:31

推 lc85301     : 供應不穩定所以轉化成可以穩定的氫啊… 02/18 16:34

推 rancilio    : 電解的電力哪裡來? 02/18 16:41

→ rancilio    : 運輸氫氣如果還要高壓液化，不是要更多電? 02/18 16:41

推 kennykennyok: 綠能沒有不好，超棒。坐等著看要搞出口導向產業又 02/18 16:42

→ kennykennyok: 要低碳排的台灣再創奇蹟。全亞洲就台灣最聰明，讚 02/18 16:42

→ kennykennyok: 。 02/18 16:42

→ endlesswaltz: 為什麼不是用愛？ 02/18 16:42

→ hungpai     : 綠氫灰氫分不清楚嗎？用氫也是有碳排問題 02/18 16:44

推 kennykennyok: 還有說核能維運成本高的，拿後端除役來說個夢想數 02/18 16:47

→ kennykennyok: 據就算了。講維運中可以問問台電攤提到現在維運中 02/18 16:47

→ kennykennyok: 的核電廠是不是營運的金雞母。 02/18 16:47

→ kennykennyok: 如果核能那麼差 台電某位董座不會撐到政黨輪替了還 02/18 16:49

→ kennykennyok: 嘴硬，被替掉了台電才開始改口不再提鴨子曲線難解 02/18 16:49

→ kennykennyok: 。 02/18 16:49

→ kennykennyok: 講人家一知半解，可以問問台電各區處是不是在拜託 02/18 16:51

→ kennykennyok: 各大超高壓用戶參與需量反應再說。 02/18 16:51

→ kennykennyok: 到時候看看今年台電要補貼多少錢給參與需量反應的 02/18 16:53

→ kennykennyok: 廠商。如果有一間商店，花錢拜託你不要買東西，那 02/18 16:53

→ kennykennyok: 供給一定有問題，道理就是那麼簡單。 02/18 16:53

→ hungpai     : 是嗎？我怎麼一直收到要我調高契約容量的破事…… 02/18 16:58

推 kennykennyok: 你是超高壓用戶嗎？ 02/18 17:01

→ materu      : 明年侯侯做事上台恢復核電，這些綠色產業都等著收 02/18 17:01

→ materu      : 起來 02/18 17:01

→ kennykennyok: 是超高壓用戶的廠商，不妨跟在地區處問問看阿。他 02/18 17:02

→ kennykennyok: 們拜訪你都來不及了。 02/18 17:02

→ kennykennyok: 還有要你提高契約容量，很有可能是你的用電跟當初 02/18 17:03

→ kennykennyok: 簽約的馬力不足了，當然要你提高阿。 02/18 17:03

推 kennykennyok: 這跟電夠不夠一點關係都沒有 你超約電力滿出來還是 02/18 17:06

→ kennykennyok: 會要你提高契約容量。 02/18 17:06

推 fishzxzx    : 樓上，調高是因為你超約，跟樓樓上講的事情沒關係 02/18 17:06

推 kennykennyok: 所以我說他是因為超約阿 02/18 17:10

推 aegis43210  : 反正核能也快歸零，討論也沒用，擁抱燃氫商機比較重 02/18 17:10

→ aegis43210  : 要 02/18 17:10

推 a8017700    : 不是反綠能 是現在執政黨做什麼反就對了 02/18 17:13

→ a8017700    : 猴猴做事會開核能？XDDDDD 02/18 17:13

推 aegis43210  : 氨氣也是另一種儲能方式，以後用煤80%，氨20%來燒， 02/18 17:16

→ aegis43210  : 碳排也會大幅降低，臺灣火力發電比例過高的後遺症正 02/18 17:16

→ aegis43210  : 在逐漸顯現，綠電憑證都被GG買光，未來碳稅很貴 02/18 17:16

推 leochang    : 侯挺核電或落選,連新北市長都會被罷掉 02/18 17:19

推 smiles0113  : 為風電綠氫在準備啦！ 這是未來趨勢 02/18 17:23

推 tinkle      : 太陽要下山囉 02/18 17:27

推 aegis43210  : 嗯，風力直接發出來的電品質不是很好，直接把產出來 02/18 17:27

→ aegis43210  : 的電拿來製造氫和氨不僅方便調度電力，也能減少電網 02/18 17:27

→ aegis43210  : 維護成本，畢竟用電池儲能更貴 02/18 17:27

推 sober921    : 產氫的方式很多，有些是副產品，但至少是可以自行取 02/18 17:28

→ sober921    : 得、儲存，不管目前效益如何，至少可以先交點學費 02/18 17:28

推 aegis43210  : 2030年我國風電裝置容量就會到13GW，2050更會到55GW 02/18 17:31

→ aegis43210  : ，綠氫對電網穩定很有幫助 02/18 17:31

→ aegis43210  : 冬天風力產出來的氫和氨，拿來夏季發電，達成完美循 02/18 17:33

→ aegis43210  : 環 02/18 17:33

推 Flyingheart : 用綠氫就是四度電換一度電 國外很多能源專家在罵 02/18 17:35

→ Flyingheart : 你沒看到而已 果然同溫層 02/18 17:35

→ Flyingheart : 綠氫儲存成本跟電池相比有沒有綠氫專家要提供數據 02/18 17:37

推 jesiuty     : 台灣綠能就是裝飾 想要真的有點用 等你能像德國滿載 02/18 17:38

→ jesiuty     : 超過100%需求電力再來吹 即便像德國這樣也免不了要 02/18 17:38

→ jesiuty     : 跟別國買電 因為不穩定 成本就不用說了 要真的搞電 02/18 17:38

→ jesiuty     : 價至少要漲個兩倍差不多 02/18 17:38

推 Flyingheart : 綠氫僅能作為未來解決方案的一部分 不是完整方案 02/18 17:38

→ Flyingheart : 別吹的太美好 02/18 17:38

→ jesiuty     : 不過台灣實質就是走全火 其他聽聽笑笑就好 等著被別 02/18 17:39

→ jesiuty     : 國炮就對了 02/18 17:39

推 Flyingheart : 太陽風能的吹捧者永遠忽略基載能源的重要性 以為只 02/18 17:43

→ Flyingheart : 靠儲能設施可以解決問題 02/18 17:43

推 gisasy001   : 你要課碳稅就爆炸了啦 02/18 17:46

→ gisasy001   : ，媽的還還不趕快蓋核五核六 02/18 17:46

推 LBJsuck     : 駐版綠能仔動起來！要對得起金主給妳的薪水 02/18 17:46

推 zuan        : 股版核終仔真多，正常人真的會去信黃士修喔呵呵 02/18 17:50

推 aegis43210  : 地熱又不可靠，當然只能靠儲能，國際現實就是走向再 02/18 17:50

→ aegis43210  : 生能源，你逆向可賺不到錢，綠氫也是把綠電轉型成基 02/18 17:50

→ aegis43210  : 載的方式 02/18 17:50

→ zuan        : 還想洗輿論「核能是綠能」 02/18 17:51

推 Flyingheart : 地熱也是再生能源喔 02/18 17:52

推 Retangle    : 我才好奇會信法律系經濟部長大談能源的都什麼人 02/18 17:55

→ Retangle    : 阿花部長搞不好連瓦特跟焦耳都不會分 02/18 17:56

→ Flyingheart : 綠氫轉成基載 綠能專家 可以提供一下  假設台灣只 02/18 17:57

→ Flyingheart : 用太陽風能 比例可以選一個最優的 依台灣目前天氣 02/18 17:57

→ Flyingheart : 機率分佈型態 要多少儲能設施才能讓台灣一年只有一 02/18 17:57

→ Flyingheart : 小時要分區供電 02/18 17:57

推 Retangle    : 扯儲能的根本不用理  代表他們連量級的概念都沒有 02/18 17:59

推 mmnnoo      : 阿花部長和他老公號稱十項全能，什麼重要的職務都能 02/18 18:01

→ mmnnoo      : 當~ 02/18 18:01

推 jesiuty     : 德國算是最用力搞再生能源了 他們儲能在隔壁 國家隨 02/18 18:03

→ jesiuty     : 時可以調度 我們可以請中國支援沒問題的我相信他們 02/18 18:03

→ jesiuty     : 很樂意 02/18 18:03

→ aloness     : 這是測試用的，never mind 02/18 18:11

→ aloness     : 就跟混燒RDF一樣，尚需要時間發展 02/18 18:13

推 jokerjuju   : 綠電過剩.... 02/18 18:18

推 rahim       : 儲能的成本太高，跟能儲的電量太少，真搞下去一度 02/18 18:19

→ rahim       : 電可能要10元 02/18 18:19

→ rahim       : 除非以後電池有辦法大幅降低成本才有搞頭 02/18 18:19

推 a8017700    : 臺灣的能源問題在不要核能不要綠能不要火力然後要 02/18 18:34

→ a8017700    : 便宜，顆顆。 02/18 18:34

推 leochang    : 目前最棒的儲能科技 是抽蓄發電 02/18 18:34

→ a8017700    : 核能根本沒縣市長願意接受放在他執政的地方。 02/18 18:34

推 LBJsuck     : 哪個沒腦袋的講綠能過剩？ 02/18 18:42

→ denow0208   : 儲能沒用？ 會這樣說的大概十年前也會說電動車沒用 02/18 18:43

→ denow0208   : 吧 02/18 18:43

→ LBJsuck     : 風電、光電神聖不可侵犯，台電的火力機組只能陪襯， 02/18 18:44

→ LBJsuck     : 每天不斷升降載消耗機組壽命來配合這群嬌滴滴的綠能 02/18 18:44

→ LBJsuck     : 財團讓他們發好發滿賺飽飽 02/18 18:44

推 Croy        : 綠電現在在台灣根本是大家搶著要的東西 02/18 18:49

→ Croy        : 需求面非常的大 02/18 18:50

推 guteres     : 去年德國來有在談這個，風電產綠氫，綠氫再來發電 02/18 18:56

推 pisu        : 風電發電量不知道有沒有成長了 02/18 19:01

推 rancilio    : 工業用甲烷+H2O產生氫氣和CO2，還是無助於減碳 02/18 19:18

推 aegis43210  : 風電和光電當然神聖不可侵犯，因為可以侵犯的核能被 02/18 19:22

→ aegis43210  : 搞掉了呀 02/18 19:22

推 apple123773 : 挖開大了... 那基隆4接一定要蓋了... 02/18 19:26

推 ejru65m4    : 綠電不穩的問題遲早要碰 先頭嘗試可以吧 02/18 19:31

推 kamichu     : 開挖大陸棚可溶冰產氫吧 02/18 19:39

推 lavign      : 以後飛機燃料也會混氫 國際趨勢 02/18 20:28

推 Retangle    : 歐洲直接重新推廣夜行列車了 航空碳排太高 02/18 20:48

推 cczx123123  : 國外早就在搞太陽能轉換成氫儲能 02/18 20:51

推 vicklin     : 綠能與儲能科技本來就是相搭配的，過渡期本就有陣痛 02/18 20:52

→ haver       : 就看這泡泡能撐多久 發展綠能要看電池的進步 02/18 20:59

→ lyhorcish   : https://i.imgur.com/ySvGxsA.jpg 先前的新聞 02/18 21:35

推 bj45566     : 侯侯上台用核能拭目以待啊，看全台灣哪一個地方願意 02/18 21:35

→ bj45566     : 接受蓋核電廠 wwww 02/18 21:35

噓 wvotyyj5    : 鬼島專家好棒，中國法國美國英國核電廠趕快收起來 02/18 22:19

→ roex0608    : 草包反核還在跳針沒地方蓋核電廠，根本不用再找新地 02/18 22:31

→ roex0608    : 方，核一到核四都有新增機組預留空間，可悲啊 02/18 22:31

推 bj45566     : 別忘了啟動核四是侯侯和妙妙姐都反對的 02/18 22:54

推 clairehao   : 拿電產氫 然後再把氫拿去燒產電? 在想什麼 02/18 22:58

→ tigertiger  : 一堆人看不懂? 混氫就是降低碳排放 02/18 23:08

推 cca1109     : 草包擁核連世界核能比率持續下降都不知道 果然是吃 02/18 23:19

→ cca1109     : 核廢料等級 02/18 23:19

→ sinsony     : 侯如果當總統就會支持了吧 目前也沒反對 02/19 01:55

推 iamten      : 沒人反綠電 大家是反漲電價 02/19 02:37

推 coffee112   : 騙子真多 02/19 04:52

推 suge        : 台灣減少碳排， 中國髒空氣飄來一堆是有屁用 02/19 07:45

推 jcwang      : 一堆不懂裝懂，難怪買股票會賠 02/19 07:50

推 skying85    : 笑死 用氫氣當燃料可以減碳 那塑化有三套氫氣工廠 02/19 08:16

→ skying85    : 是超級環保嗎 02/19 08:16

推 Terry157    : 聯華氣體 02/19 08:30

推 aweara      : 興達發電廠?a害  最會出包的電廠 02/19 09:37

推 mainsa      : 台灣政府不反綠電 畢竟是未來趨勢 不過各級地方政 02/19 09:56

→ mainsa      : 府 網路上鄉民可都是在找綠電麻煩 整體用造謠言論 02/19 09:56

→ mainsa      : 污衊綠電的 或者不管如何都要講兩句酸一下 現在又 02/19 09:56

→ mainsa      : 說不反綠電是不是搞笑啊 02/19 09:56

推 darlost     : 核電仔又跳出來鼓吹核電惹 02/19 10:22

推 hsiliang    : 風電兩兆賺的已經夠多了。台電都快被綠能政策搞到破 02/19 15:07

→ hsiliang    : 產 02/19 15:07

推 hsiliang    : 用台灣納稅人的血汗錢來補貼的非核綠能財團，執政 02/19 15:14

→ hsiliang    : 黨真有良心啊 02/19 15:14

推 hsiliang    : 用大義撈大錢，撈了兩億以上還不滿足。綠能仔該認清 02/19 15:16

→ hsiliang    : 現實了，核能發電的效率就是比較好 02/19 15:16

噓 zuan        : 樓上去教訓台積電，不要再買沒用的綠電，你智商比張 02/19 21:42

→ zuan        : 忠謀高 02/19 21:42

噓 Monicayan02 : 你就讓那些智缺反綠電，看未來歐盟與北美對進口貨 02/19 22:28

→ Monicayan02 : 物課碳稅時，那些智缺要不要幫忙出…不然不會有企業 02/19 22:28

→ Monicayan02 : 在弄ESG 02/19 22:28

噓 Monicayan02 : 智缺以為鋼鐵水泥 造紙等傳統耗能大戶，轉投資儲能 02/19 22:31

→ Monicayan02 :  綠能 拿標章認證是為了身體健康…殊不知未來商品沒 02/19 22:31

→ Monicayan02 : 有超前布署，你只能賣去東南亞…非洲 北韓 俄羅絲 02/19 22:31

→ Monicayan02 :  支那… 02/19 22:31

推 hsiliang    : 我沒反綠電，但發電就應該史最有效率，利潤最高和 02/21 13:29

→ hsiliang    : 產最高的方式 02/21 13:29

→ hsiliang    : 樓上是不是不知道台灣最大的貿易夥伴是中國？ 02/21 13:29

推 hsiliang    : 美國都在核融合了，就台灣還在燒天然氣，還用綠電 02/21 13:32

→ hsiliang    : 的名義給財團撈錢，台電負債1.8兆了！快破產了！再 02/21 13:32

→ hsiliang    : 發展綠電下去台電會破產！然後被財團買走！讓財團 02/21 13:32

→ hsiliang    : 控制民生物資！ 02/21 13:32
