作者win8719 (win8719)看板Stock標題[新聞] 陸iPhone 15預購首日「蘋果官網癱瘓」　時間Sun Sep 17 17:17:32 2023
推 allen0080   : 真香～～～～～ 09/17 17:20
→ kensmile    : 講這個太早了 09/17 18:05

→ kensmile    : 蘋果是不是熱賣，下個月就知道 09/17 18:05

推 komorin     : 真的笑死，雖然我覺得中國經濟不好，但買一隻蘋果 09/17 18:06

→ win8719     : 華為剛開始就可以開出來~蘋果要等下個月 09/17 18:06

推 godog       : 國產化90% 是沒看新聞？ 09/17 18:07

→ kensmile    : 你不等黃牛崩潰嗎 09/17 18:07

→ komorin     : 還是有上千萬人買得起，推給黃牛真是可笑哈哈哈 09/17 18:07

→ win8719     : 國產化90%?等製造機器也是國產話再來說 09/17 18:07

→ win8719     : 所以華為都不會有黃牛 09/17 18:07

→ win8719     : 只有蘋果有 09/17 18:08

→ komorin     : 等黃牛崩潰我也是笑笑啦，黃牛能搶到首發，拿1隻賺 09/17 18:09

→ kensmile    : 先看預購數字 09/17 18:09

推 holysong    : 國產90%是刀槍不入嗎？全球手機獲利蘋果佔85% 09/17 18:09

→ komorin     : 1隻，等到市場沒需求就取消訂單就好，反正不用預付 09/17 18:10

→ JoJo2330    : 禮拜六時說了，禮拜ㄧ什麼都可以空，就是別空蘋概 09/17 18:11

→ JoJo2330    : 股。 09/17 18:11

噓 coneflwer   : 還不搶進aapl股票 09/17 18:12

推 icehorng    : 瑤瑤瑤瑤領先 09/17 18:13

推 yashiro     : 笑死 09/17 18:15

推 c7683fh6    : 初一：我就是從這懸崖跳下去 我也不買蘋果任何東西 09/17 18:15

→ c7683fh6    : 十五：哎呦這哀鳳15 pro max真香 09/17 18:15

推 godog       : https://reurl.cc/m0LWEV 09/17 18:21

→ godog       : 華為 Mate60 Pro 國產化率超過 90%   46 間中國企 09/17 18:22

→ godog       : 業成供應鏈 09/17 18:22

推 rbull       : 中國能做到像北韓那樣鎖國 蘋果才會真的死定啦 09/17 18:22

推 iWatch2     : 怎麼有些人好氣 柯憐吶 09/17 18:24

→ AndyMAX     : 果粉別得意我們中國人買i15是為了支持國產之光原神 09/17 18:25

→ AndyMAX     : 華為支持黨 i15支持國產之光原神 中國又贏兩次 09/17 18:26

推 Uncontinue  : i15目前也還是中國國產吧? 支持國產不丟人 09/17 18:27

→ tsukimiyu   : 一大半是黃牛吧，最好虧死他們 09/17 18:28

推 Callus      : 瑤瑤英文叫APPLE，沙很大~~ 09/17 18:29

推 lepidoptera : 華為是工作 蘋果是生活 09/17 18:30

推 jacid       : 怎又是東森新聞，還互相矛盾 09/17 18:30

推 komorin     : 不過蘋果禁令登場的話，996們生活時間可能很短 XDDD 09/17 18:32

→ komorin     : 都在生活呀 09/17 18:33

→ komorin     :   工作 09/17 18:33

推 Callus      : 可是不用蘋果的話，怎麼看美股?? 用華為小米妳敢 09/17 18:33

→ Callus      : 轉帳嗎??  想海外投資難道能用華為與微信嗎?? 09/17 18:34

推 cityhunter04: 華為表示：不是說好要支持國貨的嗎？ 09/17 18:34

→ Callus      : 兩年前，領導禁了螞蟻投信，六年前禁了南韓， 09/17 18:36

→ Callus      : 妳怎麼會有領導支持華為的錯覺??說到底都是容妃~~ 09/17 18:37

→ young2008425: 嘴巴說不要 身體卻很誠實 09/17 18:37

→ JoJo2330    : 買滑尾是保命，買蘋果是生活，真的不衝突。 09/17 18:37

推 apolloapollo: 中國日常 09/17 18:38

推 kenslc199   : 淫麻了 雙淫就是虫國淫兩次 通縮都是假的 09/17 18:38

推 Madridtop   : 黃牛….這次賠到脫褲子 09/17 18:40

推 cblade      : 最愛老美的就是老共了 09/17 18:41

推 abjx        : 真香 09/17 18:43

噓 kensmile    : 多說無益，蘋果股價就是殺爆 09/17 18:45

推 aa6300158   : 雙贏就是中國一次買兩支 09/17 18:46

→ kensmile    : 這麼多黃牛買，股價要崩了 09/17 18:46

推 jack21023   : 華為這樣是要怎麼幹掉蘋果? 09/17 18:46

→ aa6300158   : 左手華為右手蘋果 09/17 18:46

推 z222qqq     : 買到店面沒貨可賣 看你怎麼做生意？ 09/17 18:46

推 icedog122   : 嘴巴說不要 身體倒是挺誠實的 09/17 18:47

推 chirex      : 口嫌體正直 09/17 18:48

推 carking49   : 嘴巴嘴蘋果，手指卻很誠實 09/17 18:49

噓 GimO        : 反賊通通抓起來 09/17 18:49

噓 kensmile    : 首日預購才265萬 09/17 18:50

→ kensmile    : 想想前年，i13預購是500萬人 09/17 18:51

→ win8719     : 不買也崩買也崩~怎樣都崩~贏麻了 09/17 18:51

→ kensmile    : 熱絡個屁 09/17 18:51

→ kensmile    : 明明就大幅度減少 09/17 18:51

→ win8719     : 還有就是265萬是只有一家 09/17 18:51

→ kensmile    : 265萬，至少一半是黃牛 09/17 18:52

→ win8719     : i13 500萬隻是總和 09/17 18:52

→ kensmile    : 我問深圳朋友，他們都興趣缺缺 09/17 18:52

推 njnjy       : 華為是工作 蘋果是生活 09/17 18:52

→ kensmile    : 蘋果熱度已經大減 09/17 18:52

→ kensmile    : 蘋果股價要崩了 09/17 18:53

→ win8719     : 是都黃牛中國贏麻了 09/17 18:53

→ kensmile    : 找了一堆黃牛造勢 09/17 18:54

→ kensmile    : 厲害 09/17 18:54

→ kensmile    : 過陣子，就知道慘 09/17 18:54

→ apple123773 : 蘋果要完蛋了啦!!!! 不買華為的都不愛國? 09/17 18:55

→ win8719     : 贏麻了贏麻了 09/17 18:56

→ win8719     : 都是黃牛買的阿~~~~ 09/17 18:56

→ Callus      : 中國沒有黃牛，是大盤商中盤商，大哥不是盤子呀!! 09/17 18:57

推 jack0216    : 剛開始當然擠 笑死 最好華為搶個幾百萬台走 09/17 18:58

推 AndyMAX     : 華為連黃牛都不屑搶的意思嗎 09/17 18:59

推 cowboy781208: 真香 09/17 19:02

推 zerro7      : 好久沒看到強者我朋友了 09/17 19:05

推 niceysl     : 物以類聚，你認識的興趣缺缺，不代表別人認識的朋 09/17 19:05

→ niceysl     : 友都不買 09/17 19:05

噓 edward198791: 是不是 真香阿~ 09/17 19:06

噓 jinshun     : 看一眾推文就知道 連上官網看到貨時間都不會 09/17 19:09

推 ariadne     : 某跑去中國的產業分析師不是說會被華為影響銷量？ 09/17 19:10

→ ariadne     : 是自己公司報告銷量嗎？ 09/17 19:10

推 greenday0827: 欸不是 中國人用華為就好了吧幹嘛跟我們搶 09/17 19:13

噓 hbbk        : 怎麼有股豬臭味 09/17 19:14

→ eemail      : 華為比較早賣才有新聞吧 09/17 19:19

噓 winner0429  : 說實在的 蘋果每一代賣個6千萬支才算正常 中國市場 09/17 19:22

→ winner0429  : 大 賣個3百萬支有很多？ 09/17 19:22

推 u9912114    : 又看幾個特定ID愛支病又發作了  可憐 09/17 19:25

推 Callus      : https://i.imgur.com/KeArGrT.jpg 09/17 19:26

→ win8719     : 哪個快3百萬隻只是一家數量還有別家的沒加上來~然後 09/17 19:26

→ win8719     : 6千萬隻是一年銷量~這是一天銷量.. 09/17 19:26

→ win8719     : 拿一年的出來跟一天對比.. 09/17 19:27

推 a606152004  : 搶一隻華為拿去轉賣 可以買一隻蘋果你說爽不爽 09/17 19:27

→ yisian      : 封殺蘋果，用人民幣下架iphone 09/17 19:28

→ win8719     : 然後2020到2022 蘋果在中國沒賣過6千萬台 09/17 19:30

→ DAEVA       : 遙遙領先 09/17 19:32

→ win8719     : 我說的是每年喔 09/17 19:33

推 SSS120329   : 標題 鋪貨九次就滿足需求 只有156萬人預購 iphone1 09/17 19:34

→ SSS120329   : 5 銷量受華為影響甚大 09/17 19:34

推 kobi0910    : 華為就不要拿出來讓人看笑話  洗的好像絕世神機一 09/17 19:37

→ kobi0910    : 樣 09/17 19:37

推 Carr77      : 怎麼不買遙遙領先？ 09/17 19:40

→ Carr77      : https://i.imgur.com/DZ0VXjA.jpg 09/17 19:41

→ bemily32    : 小粉紅拿粉紅剛好 09/17 19:41

推 jeff830603  : 每年都在罵牙膏 罵完乖乖掏錢包xD 09/17 19:43

推 NexusPrime  : 小粉紅罵歸罵，身體還是很誠實的用力買下去 09/17 19:44

推 nxuanr      : 嘴巴說不要 身體倒是挺誠實的 09/17 19:49

推 qwe22992168 : 習豬該做事了吧?? 牆國全體禁買蘋果 習豬不敢嗎?? 09/17 19:51

→ laechan     : 很大部份是黃牛，以前就演過了，他們現在年輕人根本 09/17 19:57

→ laechan     : 沒錢＋負債，最好有錢買破萬手機 09/17 19:57

→ laechan     : 南八 https://youtu.be/XGOAWm48VzU 09/17 19:57

推 gg0079      : 遙遙領先呢？這樣不可以吧。 09/17 19:57

推 ken85       : 華為業務線不只有賣手機XD 還有賣台幣破百的車 09/17 19:59

→ NexusPrime  : 笑死，黃牛買要賣給誰？這又不像ps5之前缺貨嚴重， 09/17 19:59

→ NexusPrime  : 不要再什麼黃牛了 09/17 19:59

→ breacal     : 厲害國的遙遙領先跑去哪了 09/17 20:00

→ ken85       : 華為主力根本就不是手機 才是可怕的地方= = 09/17 20:00

推 BruceChen227: 厲害了我的國 09/17 20:04

推 jfw616      : 華為主力不是軍方採購嗎 09/17 20:04

→ rock012079  : 統一期貨 09/17 20:05

推 ken85       : 應該不只軍方吧 反正華為業務太複雜 養豬也搞 09/17 20:06

推 goodnigh    : 嘴巴說不要身體倒是挺誠實的 09/17 20:11

推 Eide        : 蘋果還在藥丸介面...期待改掉的一天 09/17 20:11

推 flywater    : 要說幾遍現在看根本不準 一開始一定是訂好訂滿 破發 09/17 20:14

→ flywater    : 再退貨就好 看什麼時候破發最準 09/17 20:14

→ ken85       : 台灣太陽能的綠電也有用華為設備的 華為有一堆產業 09/17 20:16

→ kg1008      : 嘴巴說不要身體倒是很誠實 09/17 20:17

推 ohbu        : MAX賣最好，大立光會不錯 09/17 20:20

推 weq         : 就別想太多,14億人裡非粉紅還是比較多比較安靜 09/17 20:21

噓 noreg0393933: 台灣也一樣啊？ 09/17 20:22

推 koushimei   : 身體很老實 有3奈米 誰要用7奈米 09/17 20:25

推 waterwalk   : 蘋果不行 其實是笑到不行吧 09/17 20:35

推 iansuture   : 中國人民還是得買Apple的，畢竟水準和中國牌手機差 09/17 20:51

→ iansuture   : 太多，誰要買會遲到的品牌 09/17 20:51

→ iansuture   : 每年演一次 09/17 20:52

推 dejavu0409  : 遙遙領先 09/17 20:53

推 myforce     : 最強A17 Pro晶片！！ 09/17 21:06

推 WTF55665566 : 說好的華為屌打呢？支那人身體還是誠實的 09/17 21:20

推 WTF55665566 : https://reurl.cc/QZ6poo 09/17 21:21

→ WTF55665566 : 這就是支那9中歐國企產業鏈的品質啊XD 09/17 21:22

→ WTF55665566 : 難怪身體還是很誠實的預購蘋果 09/17 21:22

推 billy4305   : 果黑每年開賣前都會嗆要看預購 預購爆了又嘴要看退 09/17 21:23

→ billy4305   : 單 沒退單又嘴要看銷售量 銷售量屌打以後就會安靜到 09/17 21:23

→ billy4305   : 隔年開賣時再次發作 笑死 09/17 21:23

→ WTF55665566 : 14億人粉紅當然居多 問題是那些人有多少能力去消費 09/17 21:23

→ WTF55665566 : 蘋果華為？沒有 極少數 09/17 21:23

→ WTF55665566 : 整天嗆抵制的通常都是沒能力消費的 09/17 21:24

→ jen1121     : 乖乖買爆 09/17 21:28

推 losage      : 身體挺誠實的 09/17 21:28

推 yuebin      : 每年發表會前後都說超爛要跳槽，開始預購身體還是 09/17 21:30

→ yuebin      : 很誠實 09/17 21:30

推 dingading   : 真香 09/17 21:33

推 shuoyuan    : 中共什麼時候要崩潰?怎麼上週搶華為,這週搶蘋果 09/17 21:35

→ Knudsen     : 華為手機那中二的命名真是笑死人 只要把古代名詞拿 09/17 22:04

→ Knudsen     : 來套就自以為厲害?結果骨子裡都是美國貨 09/17 22:04

推 LiamTiger   : 每年都說慘每年都熱賣 09/17 22:11

→ sakula0616  : 用十多年安卓系統  第一次要換蘋果了 09/17 22:16

→ sakula0616  : 華為根本走不出中國市場  那些一堆人排隊都假象 09/17 22:19

→ lilic0c0    : 華為如果是美國公司，在仿制Cisco 的初期就會被告 09/17 22:23

→ lilic0c0    : 到破產了。 09/17 22:23

推 howhow801122: 中國贏二次 09/17 22:24

推 Groundwork  : 如果我是蘋果高層 我就下令限縮頻寬 製造瘋搶假象 09/17 22:25

→ Groundwork  : 還是一堆人會被我騙 09/17 22:25

噓 jjjjjjs     : 越禁的東西 人越想嘗試 09/17 22:25

推 westlml     : 蘋果算國產的吧 反正是在中國組裝的 09/17 22:31

推 sernidle    : 身體好誠實 09/17 22:41

→ vc39        : 每年都在重複同樣的劇本 真的很無聊 09/17 22:46

推 ZXSC        : 中國贏兩次，華為大賣一次，蘋果大賣一次 09/17 22:47

→ ZXSC        : 總之中又贏!!!!!!!!!!!! 09/17 22:47

→ barry841120 : 華為不是更好嗎 怎麼都去搶蘋果了呢 嘻嘻 09/17 22:49

推 godog       : iphone賣的好:身體好誠實 09/17 22:50

→ godog       : iphone賣不好:中國人沒錢了 09/17 22:50

→ godog       : 怎麼嘴都贏 嘻嘻 09/17 22:51

噓 f12sd2e2aa  : 不是說中國經濟崩潰在啃樹皮？ 09/17 23:01

→ StupidKK    : 買蘋果手機可以出國後賣掉，避開外匯管制。（誤） 09/17 23:04

噓 LimYoHwan   : AAPL一樣要崩 09/17 23:12

推 baddad      : 等等…推文有人不知道華為黃牛機跳水了嗎 09/17 23:17

噓 ifye        : 小粉紅 真香 09/17 23:17

推 LewisRong   : 中國40歲以上可能還帶得起民族主義 30歲以下很多都 09/17 23:19

→ LewisRong   : 大學畢業的知識份子 沒以前那麼好操作了 09/17 23:19

→ DareJ       : 真香 09/17 23:30

推 ss5010593   : 多買一點不然要沒分紅惹 09/17 23:39

→ hyde711034  : 名單應該要繳給政府，看看都是那些通美帝的叛徒 09/17 23:44

推 iWatch2     : 好氣好氣 09/17 23:54

推 q09701023   : 禁令前買爆會不會之後狂漲流到黑市 09/17 23:58

→ sarsenwen   : 可以玩3A 開光追 還不買爆 09/17 23:58

推 warren1113  : 反正抖音大軍洗一下摔apple手機就是愛國 華為就其來 09/18 00:04

→ warren1113  : 了 09/18 00:04

推 BosRedsucks : https://i.imgur.com/jGm0szN.jpg 09/18 00:26

→ shingostrong: 粉紅色真的香.華為外觀實在不討喜.尤其是背面 09/18 00:31

推 kis28519    : 身體挺誠實的 09/18 00:50

推 twic        : 果又贏 09/18 00:53

推 kendiv      : 孟晚舟被抓時候身上滿滿蘋果… 09/18 01:12

推 u8702116    : 這種擠牙膏就賣翻了 09/18 01:35

推 catboost    : 華為系統30%介面都有廣告，八卦的最愛 09/18 01:43

推 foolwind    : 蘋果這次不是嚴重辱華了 還一堆人買 賤不賤阿XDDD 09/18 02:26

推 ufo15526368 : 遙遙領先，遙遙領先，遙遙領先， 09/18 02:31

推 holysong    : 遙遙領先，遙遙領先，遙遙領先，蘋果遙遙領先 09/18 06:21

→ darkangel119: 每年都是翻車現場 09/18 06:33

→ keter007    : 明天可能買不到了，先搶先贏 09/18 06:44

推 wingl       : 之前新聞還以為華為要一統中國了 09/18 07:00

推 a26893997   : 中又贏！！！ 09/18 07:15

推 HinaTomo    : 口嫌體正直 09/18 07:18

推 camp0102    : 笑死 照割一波 09/18 07:23

推 zip00000    : 一樣都要跌爛的 09/18 07:34

推 viewer1946  :   https://i.imgur.com/nVdlW7S.jpg 09/18 07:45

→ viewer1946  : 遙遙領先 遙遙領先 09/18 07:45

推 boy1031     : 蘋果今年以來小漲40%，遙遙領先，嘻嘻 09/18 07:48

推 ashrum      : 華為：幫復 09/18 08:02

→ MK250       : 不買粉紅說的遙遙領先, 分明是崇洋媚外 09/18 08:08

推 lolpklol0975: https://i.imgur.com/Eii9FEa.jpg 09/18 08:10

推 pivotalHarry: https://i.imgur.com/1p5BUbs.gif 09/18 08:10

→ yiersan     : 笑死 果然反美又是假的 09/18 08:18

→ yiersan     : 華為那次搞不好是他們黨自己花錢買的假象 09/18 08:19

推 redkuo      : 華為贏兩次 09/18 08:21

推 facio124    : 笑死 真香 09/18 08:23

推 bagaalo     : 怎麼記得前幾天華為新聞出來 下面一堆人唱衰蘋果 現 09/18 08:33

→ bagaalo     : 在...... 09/18 08:33

推 andy7829    : 中國贏麻 09/18 08:36

推 fanny0825   : 華為：乳滑 09/18 08:42

→ realbout    : 遙遙................. 09/18 09:20

推 stilu       : 華為那支不就中階手機，只有價格高階而已，怎麼比 09/18 09:25

推 ab304044    : 遙遙真的領先了 09/18 09:25

推 zxcv0322    : 遙遙領先 09/18 09:25

推 smilefred   : 反美是工作 挺美是生活 09/18 09:31

推 leftwalk    : 愛國手機買不到，只好買蘋果，然後拿蘋果罵蘋果XD 09/18 09:32

推 danhunter   : 牆國又贏了 09/18 09:36

推 GooglePixel : 蘋果被13億人DDoS 中國人又勝利了 09/18 09:58

噓 simba08130  : 發這種新聞有啥意義 首購數量登陸人次 關鍵資訊都沒 09/18 09:58

→ simba08130  :  等銷售數據啊 09/18 09:58

推 wii128      : 灣灣領先 09/18 10:08

推 fantasyhorse: 噗 怎麼前陣子華為新聞就沒看你們出來喊有啥意義XD. 09/18 10:24

→ linzero     : 不過也有黃牛搶貨翻車過吧 09/18 10:26

推 iWatch2     : 華為那支其實是低階機ㄌ 中階SOC都能幹翻 09/18 10:32

→ kevinmeng2  : https://i.imgur.com/6VT7506.jpg 09/18 10:35

→ kevinmeng2  : 要數據自己上網搜啊！連這點能力都沒有，別買股票 09/18 10:36

推 dynamo      : BI 09/18 10:41

推 atlaswhz    : 中國人笑死,再怎麼嘴秋,身體還是最誠實 09/18 10:47

推 howow       : 演的 09/18 10:57

推 isolove19   : 買來研究用途 09/18 11:32

推 ariadne     : 講黃牛是有多雲？14就燙死一堆黃牛了 華強北也被包 09/18 11:50

→ ariadne     : 子弄死了 是有多雲才在講黃牛 笑死 09/18 11:51

噓 kensmile    : 奇怪，這邊一堆人都喜歡笑死，是要死幾次 09/18 12:04

→ kensmile    : 股票輸錢，有必要這樣嗎 09/18 12:05

→ Amy1021     : 果粉們衝啊 09/18 12:33

推 jamesho8743 : 遙遙領先 讚 09/18 12:40

推 iWatch2     : 支那人買黃牛也能氣死真的笑死 09/18 12:49

→ iWatch2     : PTT推個文就沒黃牛問題ㄌㄇ 柯憐吶 09/18 12:50

→ kensmile    : 樓上幹嘛自介 09/18 13:25

推 Dreamer77   : 吹華為不知道在吹啥 09/18 13:31

→ Dreamer77   : 身體最誠實 09/18 13:31

推 zxc99327    : 華為那支soc比7gen2還爛欸，會買的中國人應該是非 09/18 13:40

→ zxc99327    : 常死忠的，除了爛還外加自我監控，哀鳳在中國社會 09/18 13:40

→ zxc99327    : 懂隱私賣爆很正常 09/18 13:40

推 Zoomyoyo    : 第一批首購基本上都是這樣 是要看第二批 第三批拉貨 09/18 13:45

→ Zoomyoyo    : 如果連首購都沒有盛況 那是真的日薄西山的時候 09/18 13:45

推 hsu0612     : 不意外 09/18 14:20

推 gtsp0964    : 遙遙領先 科科 09/18 14:34

推 ACDC69      : 有黃牛的 代搶手機 09/18 16:03

→ ecwecwtw    : 以中共人的角度看，經濟不好也要換手機證明自己沒 09/19 01:30

→ ecwecwtw    : 那麼落魄 09/19 01:30

推 jise51103   : 口嫌體正直 09/19 11:01

→ s213092921  : https://pse.is/5cbt6l 結果是蘋果官網太爛，不是買 10/28 06:47

→ s213092921  : 氣太好，可憐啊 10/28 06:47
