作者crystalvue (問就是中華電信)看板Stock標題[請益] 長期持有大盤能戰勝波段操作（個股）嗎時間Wed Mar 29 19:10:15 2023
如題，常看到ptt神人大大，PO對帳單，不是30就是50%，大部分不是事件交易，追強勢，
當沖…（波段操作個股）傻傻長期持有0050 或正2  10年，根本沒辦法戰勝波段操作吧
→ YuYuHo      : 簡單持有大盤遇到震盪也不會輸 03/30 02:43

→ YuYuHo      : 正二很好，但是摩擦損失比較大 03/30 02:45

→ YuYuHo      : 工具都是有一好沒兩好，取捨 03/30 02:46

推 Capufish    : 2021.5.14 ~ 2023.03.08，大盤震盪了兩年回原點 03/30 03:10

→ Capufish    : 持有大盤（0050）：https://imgur.com/S840euF 03/30 03:11

→ Capufish    : 看起來遇到震盪輸蠻慘的，正2摩擦出+15％的報酬率 03/30 03:12

推 YuYuHo      : 大趨勢可以cover小震盪 03/30 03:27

→ YuYuHo      : 我說正二摩擦損失比較大，並沒有問題 03/30 03:28

→ YuYuHo      : 那是事實 03/30 03:29

→ YuYuHo      : 正二在理論上理想上是平方的概念，而不是兩倍 03/30 03:34

推 BRANFORD    : 很多場勝利 遇到一次大敗就全吐回去了 03/30 06:41

推 green0953   : 波動是雙向的 03/30 09:00

推 Capufish    : 50正2並沒有磨損喔：https://reurl.cc/vkEKE1 03/30 09:59

→ Capufish    : 它超越完美的兩倍複利：https://imgur.com/4vzd6IE 03/30 10:00

→ Capufish    : 你要說國外的有磨損OK，台股正2並沒有這個問題 03/30 10:01

→ Capufish    : 不只沒有磨損，反而還給出比完美兩倍更多的超額報酬 03/30 10:01

→ Capufish    : 光是能達到完美兩倍複利已經是很可怕的事情了 03/30 10:02

噓 syuechih    : 對 趕快歐印AI類股 直接退休 03/30 12:07

→ YuYuHo      : 那是因為逆價差回血，而不是沒磨損 03/31 02:10

→ YuYuHo      : 報酬指數期間2.15倍，兩倍報酬指數3.79倍 03/31 02:26

→ YuYuHo      : 兩倍報酬的理論值是2.15^2=4.6225 03/31 02:28

→ YuYuHo      : 3.79倍的報酬已經被磨損了 03/31 02:29

→ YuYuHo      : 有些沒有逆價差回血的表現會更差 03/31 02:30

→ YuYuHo      : 我並沒有要否定正二喔 03/31 02:33

→ YuYuHo      : 我自己有一個策略是專門做正二的 03/31 02:35

推 Capufish    : 2.15倍跟3.79倍是什麼數字？直接看年均複利有沒有 03/31 09:03

→ Capufish    : 兩倍就知道是否有磨損了，原型5%，兩倍10%就沒磨損 03/31 09:03

→ Capufish    : 不是從總報酬看，而是年化報酬率 03/31 09:04

推 Capufish    : 只要報酬率沒低於簡單平均的兩倍，就是沒耗損 03/31 12:40

→ Capufish    : 幾何平均＝簡單平均，這種情況就不會有耗損 03/31 12:40

→ Capufish    : 但通常不可能，因為有波動存在必然會有減損 03/31 12:40

→ Capufish    : 而台股正2就是突破這種限制的唯一例外，全世界獨有 03/31 12:41

→ Capufish    : 可以參考這篇：https://reurl.cc/o0mg3v 03/31 12:41

→ YuYuHo      : 沒有例外啦 04/01 02:25

→ YuYuHo      : 摩擦損失跟逆價差回血要分開 04/01 02:27

→ YuYuHo      : 正二是平方關係而不是兩倍 04/01 02:29

→ YuYuHo      : 妳數學太爛不是我的問題 04/01 02:31

→ YuYuHo      : 正二這麼無敵，那不就是在打無敵鐵金剛的 04/01 02:43

→ YuYuHo      : 都不會放槍 04/01 02:43

→ YuYuHo      : 都給你自摸就好了 04/01 02:45

→ YuYuHo      : 你對工具摸得不夠透才會以為那是無敵鐵金剛 04/01 02:55

→ YuYuHo      : 超人都有剋星 04/01 02:55

推 Capufish    : 從年化報酬率來看，算術平均＝幾何平均＝沒有磨損 04/03 15:06

→ Capufish    : 你是不是哪裡理解有問題啊，為什麼要用2.15^2？ 04/03 15:06

→ Capufish    : 要看應該是從年化報酬率去推是否有偏移，怎麼會是從 04/03 15:07

→ Capufish    : 總報酬去算平方？是不是哪裡誤會了？ 04/03 15:08

→ Capufish    : 另外你2.15的數字哪裡來的？ 04/03 15:08

→ Capufish    : 報酬指數本金100，終值215，獲利要算也是1.15 04/03 15:09

→ Capufish    : 怎麼會有2.15的數字？先解釋一下這個2.15哪來的 04/03 15:09

→ Capufish    : 兩倍報酬的3.79倍又是哪來的？你該不會忘記扣本金吧 04/03 15:10
