作者Player01 (Player2(請投入硬幣))看板Stock標題[新聞] 全球AI是否過熱？台經院：不會發生2000年時間Tue Jul 25 18:42:16 2023

→ adriano7431 : 穩爆了 07/25 18:43

推 Shiver705   : 2008海嘯呢( 07/25 18:43
→ IBIZA       : 台灣的AI服務會比網路服務更慘 07/25 19:00

→ mnxzq       : 哪裡文藝復興 生成式AI和以前的不一樣好嗎 07/25 19:00

推 poisonB     : 丸子 07/25 19:03

→ xephon      : https://i.imgur.com/P9WkCnQ.png 07/25 19:03

推 dream12305  : 勞退基金買多少緯創想當然 07/25 19:06

噓 a633599     : 難道要講會嗎 07/25 19:06

推 paracase    : 台經院有資格做這種預測嗎？ 07/25 19:09

→ Ceferino    : AI掰掰 07/25 19:10

→ Madridtop   : AI會過熱，除非世界末日 07/25 19:10

→ devidevi    : 會發生2023泡沫 07/25 19:11

推 panjanhon   : 一堆人在擔心過熱 要怎麼過熱啦 一堆人怕的要死 07/25 19:11

→ devidevi    : 幹，原來中午是哲哲進場 07/25 19:11

推 photonic    : 熱到台經院要出來講話 07/25 19:12

推 goshnash    : 下一個護國產業餒而！ 07/25 19:12

→ jasonkey123 : 台灣是賣設備賺快錢,風險相對低 07/25 19:13

推 vncss       : 不然要說會嗎=.= CC 07/25 19:13

推 panjanhon   : 現在至少還是有真的有ai產品的在漲 又不是一堆亂漲 07/25 19:14

→ panjanhon   : 的 07/25 19:14

→ kevinmeng2  : 完了，我們政府那次說話準的 07/25 19:19

→ mythwind    : 超穩 07/25 19:20

推 iWatch2     : 台經院是民間哪色都不知 情弱確定還要在股市打滾ㄇ? 07/25 19:20

推 v7q4        : http://i.imgur.com/VLGRgrr.jpg 07/25 19:21

推 laogiby     : 穩 下一個護國神山 緯創 07/25 19:22

→ zxcv75320   : 系啊，讓我想到小英的高端法會，芭比q了 07/25 19:23

噓 JOKIC       : 因為全球真的還好是台股Ai 過熱 07/25 19:29

推 steve81429  : 來了 明天殺 07/25 19:33

→ luche       : 收到了 不會 07/25 19:35

推 icou        : 亂飆的股不可能不回檔啦 07/25 19:36

推 xxgogg      : 沒錯，會比2000年還要嚴重 07/25 19:37

推 bj45566     : 問題是網路泡沫時代很少人買微軟或蘋果啊，大家拼命 07/25 19:39

→ bj45566     : 買的是 Yahoo, Cisco 和一堆你聽都沒聽過的股票 (因 07/25 19:39

→ bj45566     : 為破產倒閉了) 07/25 19:39

推 bj45566     : 而且當時即使是「賣鏟子」的如 Cisco 股價也是被炒 07/25 19:43

→ bj45566     : 到飛天，泡沫過後大跌到 <1/5 然後再也沒有爬起來過 07/25 19:43

推 tanchuchan  : 收到 明天出清 07/25 19:44

推 bj45566     : 就我所知，AI 伺服器絕對不是超困難然後全球只有台 07/25 19:47

→ bj45566     : 灣能做的東西 07/25 19:47

推 bj45566     : 而且 NVDA 本家伺服器最大的單是給美超微 07/25 19:49

推 Lionvjm95   : AI完了 趕快跑吧 07/25 19:53

→ wing008021  : 訊號來了 07/25 19:54

推 Austin00    : smci做不完才分給winstron 07/25 19:57

→ Austin00    : Einstein* 07/25 19:57

→ Austin00    : wistron* 07/25 19:58

推 k91011022   : nvda 應該還是泡沫後會存在的最強之一 老黃布局十年 07/25 21:08

→ deangogi    : 那就是會 07/25 21:10

推 huk40199    : 是喔 07/25 21:35

→ Callus      : 全世界GDP會不會年年6%成長，星球的確存在物理極限 07/25 22:03

推 ufo15526368 : 完了！ 07/25 22:23

→ timetostudy : 穩了 明天一鍵____ 07/25 22:37

噓 tomap41017  : 完了 07/25 22:53

推 photonic    : 只有兩隻是真AI NVDA跟AMD 07/25 23:07

→ hook99      : 都背書不是泡沫了  明天來上車 07/25 23:54

推 allen1988   : 比照智慧手機的蘋果，只有軟體商可以賺到流湯，會 07/26 00:04

→ allen1988   : 是微軟嗎？ 07/26 00:04

推 cy168       :  AI的應用讓非科技業的人也能輕鬆操作~ 07/26 02:10

推 j1992624    : 利空出盡 先等降息降完吧 07/26 05:39

推 a8017700    : 人家是台經院 一堆人說是政府 XDDDDDD 07/26 10:01
