作者Player01 (Player2(請投入硬幣))看板Stock標題[新聞] 謝金河以廣達為例：投資就是要守株待兔時間Sat Jul 22 13:30:58 2023
推 ntpcgov     : 完蛋 07/22 13:32
推 kenro       : 屁啦，肉鬆那幾哥這幾年就是這鳥樣 07/22 13:59

噓 lakershank  : 求求你閉嘴 07/22 13:59

推 hao61094    : 訊號來了 07/22 14:00

推 popo123456  : 我75買廣達100就賣了，還不是被甩掉 07/22 14:00

推 event1408472: 確實 07/22 14:01

→ jt13        : 廣達 緯創都不可能抱到現在.... 07/22 14:01

→ popo123456  : 誰知道那嗎麽飆 07/22 14:01

→ jt13        : 其實看廣達漲根本沒感覺，因為我知道我一定抱不到 07/22 14:04

→ jt13        : 現在..但買先進封裝我就可以抱到現在也有100 塊漲 07/22 14:04

→ jt13        : 幅 07/22 14:04

推 manlike     : 哪來這麼多謝金河的新聞 (′・ω・`) 07/22 14:05

推 kobe30418   : 丸子 07/22 14:05

→ kobe30418   : 當年250的台積電 真的有辦法抱到600多的都沒幾個了 07/22 14:06

推 sw9294      : 不要再轉這咖新聞，廢話一堆 07/22 14:07

噓 lunatich    : 股市不賠秘訣：馬後炮 07/22 14:08

推 getx105     : 週末鬼故事 07/22 14:09

推 benson502   : 訊號來了 07/22 14:11

噓 pilimau     : 馬後砲專家 07/22 14:12

推 joeshiu     :   愛刷存在感 07/22 14:12

推 qwe78971    : AI無腦多 怎麼輸 07/22 14:13

→ StarRoad    : 老謝後來也說過航運迎來轉機，大家快去守株待兔 07/22 14:14

推 ctes940008  : 訊號 07/22 14:14

噓 s155260     : 好險不是緯創 07/22 14:14

推 hankerlon   : 果然是解盤的咖 07/22 14:14

→ gigi030507  : 還好 我成本回來了。根本不怕你嘴。 07/22 14:15

推 musi        : 丸子 07/22 14:17

噓 Wilsly      : 以宏達電為例呢？留下等死？ 07/22 14:17

推 boykid      : 馬後炮老謝 07/22 14:18

→ IBIZA       : AI目前就標準炒作 哪是甚麼守株待兔範例 07/22 14:19

推 popo123456  : 金河去年還狂捧海運三雄 07/22 14:20

→ wake7078    : 老洩 不buy 07/22 14:21

噓 gh316       : 乾怎麼不講宏達電 07/22 14:22

推 devidevi    : 怎麼不講國巨 07/22 14:23

噓 deepdish    : AI時代惹還守 要找AI食物來吃好嗎 07/22 14:28

推 orange7986  : 老謝真的神，那天一講完中興電隔天馬上打開，最後 07/22 14:32

→ orange7986  : 收盤還小漲 07/22 14:32

推 nigatsuki   : 肉鬆再見 07/22 14:37

推 ttcml       : 見漲喊漲的說這什麼... 07/22 14:41

推 realjjj     : 嗯嗯嗯就跟週刊就是要放馬後炮一樣 07/22 14:42

推 uxy82       : 這咖能有話語權也真是台灣的悲哀 07/22 14:43

推 kmtkmtkmt   : XDDDDDDDDDDDDDDDDDD 廣達直接被點名 笑死 07/22 14:44

→ kmtkmtkmt   : XDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD 07/22 14:44

推 hate56      : 是喔 真的喔 07/22 14:45

噓 tlnrs       : 又在馬後洩 07/22 14:45

噓 li11223344  : 嘴砲仔必噓 07/22 14:46

噓 scum5566    : 完蛋了 死死死 07/22 14:47

→ devidevi    : 廣達跌破5日線就要跑，不要留戀 07/22 14:49

→ devidevi    : 頂多等站回5日線再買進 07/22 14:49

噓 toty1101    : 投資就是要馬後炮 07/22 14:51

推 kmtkmtkmt   : 這咖真的是標準的....."早講啊 你怎不早講" 07/22 14:52

推 waterydan   : 早講阿，你怎不早講 07/22 14:53

推 roytenpura  : J個肉鬆臭酸了 07/22 14:54

推 tamynumber1 : 慘了 07/22 14:55

推 linlpc      : 那你也得知道你守的是一隻兔子啊 07/22 14:56

推 URGE1018    : 馬後炮王 07/22 14:56

噓 gh316       : 老謝，aka台股馬後炮，有人注意到他特別喜歡把數字 07/22 14:57

→ gh316       : 用中文表達，而不是用阿拉伯數字？ 07/22 14:57

推 chanel1259  : 跌成狗的時候，老謝會說什麼我好像猜得到 07/22 14:57

噓 deepdish    : https://i.imgur.com/nAheNQs.jpeg 07/22 14:58

推 rs2016      : 事後諸葛都看看就好 07/22 15:00

推 now99       : ？ 07/22 15:04

→ iansuture   : 本多時間多終大勝 07/22 15:05

噓 qss05       : 我要趕快all in中華電了，等等AI要大量用網路，中 07/22 15:05

→ qss05       : 華電噴好幾倍怎麼辦 07/22 15:05

→ DreamW      : 馬後炮 07/22 15:05

→ ookimoo     : 3根大根的即將來臨 坐穩了 90%機率往下 07/22 15:07

噓 dufflin     : 屎亡確認 07/22 15:12

噓 alanshore608: 馬的，老謝你可以安靜一點嗎 07/22 15:15

噓 s881720     : 風向仔 只會馬後炮 07/22 15:16

推 pimba17     : 那買2498守株待兔…. 07/22 15:17

推 abbasmart   : 這麼厲害當初廣達怎麼沒叫大家買？ 07/22 15:17

推 Jerry469    : 去了 07/22 15:21

推 imhank      : 這麼厲害…. 直接巴菲特 巴下去 07/22 15:32

噓 SkyIsMyLimit: 為何會一直訪問這咖啊 說的東西根本沒什麼料 07/22 15:35

推 nakayamayyt : 他是社長啊 不用訪問 每禮拜都有專欄跟電視主持 07/22 15:39

→ nakayamayyt : 老謝就看市值 反正那個市值高他就讚 永遠落後 07/22 15:41

推 nforcex     : 早謝買了嗎 07/22 15:43

噓 yu7038      : 馬後炮大師 07/22 15:48

推 tanchuchan  : 財富秘密：400以下all in 台積電 07/22 15:49

推 GGME        : 這些都沒有高力會噴啊 07/22 15:51

→ knifeking   : 老洩全都點名了.. 07/22 15:54

推 danwhei     : 一張不賣  奇蹟自來 07/22 15:55

→ bluenight251: 守株待兔這個成語是這樣用的嗎…？ 07/22 15:57

推 devidevi    : 守株待兔不難，知道誰是兔子比較重要 07/22 15:58

→ b86520494   : 事後 諸葛精盒 07/22 15:59

推 x58420      : 丸子 中興電點完就打開了 07/22 16:01

推 jeremyyyy   : 幹，我明天要拋了 07/22 16:01

噓 Behave      : 為什麼要一直倒垃圾啦？ 07/22 16:04

→ tenghui     : 認真說老謝去當球評或賽馬評會更出色 因為後知後覺 07/22 16:06

→ tenghui     : 然後板上就是固定有人要轉他的文 搞不懂在幹嘛 07/22 16:07

→ questionboy : 友達表示 07/22 16:09

噓 KingChang711: 死定了，根本股板Josh 07/22 16:09

→ KingChang711: 股市界的臺南Josh 07/22 16:09

推 tomdavis    : 這次要把台泥嗨掉了嗎? 07/22 16:12

→ simoncage   : 訊號來了 07/22 16:13

推 DareJ       : 廣達受死 07/22 16:15

→ fywei       : 好可憐 07/22 16:19

噓 rosy        : 老瀉請亮出你的績效証明，要不就是個屁 07/22 16:20

推 jay0125     : 這咖標準的什麼強吹什麼跟不buy蠻像的 07/22 16:30

→ s155260     : 酸完中興電隔天就打開了 別不信馬後謝 07/22 16:34

→ Shiver705   : 懂得就懂 07/22 16:36

推 a396216     : 老謝再充當民進黨打手恐晚節不保 07/22 16:38

推 jake0916    : 下星期應該要跌了 07/22 16:39

→ shan1010    : 早說，怎麼不早說 07/22 16:41

推 IDF5566     : 你怎不早一年說 07/22 16:45

推 house911    : 馬後炮風向謝  起漲前怎不先講?? 07/22 16:46

噓 sska        : 趕快守株鴻海 選後會大漲 07/22 16:55

→ sska        : 感覺是個政治咖 07/22 16:55

推 owennice    : 老洩，你知道安靜這兩個字怎麼寫嗎 07/22 17:12

噓 ki0107k     : 閉嘴啦廢物老謝 07/22 17:22

噓 vespa76123  : 馬後砲 07/22 17:27

噓 fanny0825   : 閉嘴啦！吵死了 07/22 17:28

→ StarRoad    : 老謝語錄：起漲-獲利動能有限，大漲-審慎追高，超 07/22 17:34

→ StarRoad    : 漲-護國新神山，拉回-加碼基本面，大跌-籌碼凌亂不 07/22 17:34

→ StarRoad    : 影響展望，超跌-前景不佳速離場，反彈-短多長空 07/22 17:34

噓 ryan1220    : 丸子 老謝開大絕了 07/22 17:38

→ gosh717     : 痾 07/22 17:41

推 billionaire : https://i.imgur.com/NzT4A3G.jpg 07/22 17:47

→ sam0459     : 還好持股沒被點到 07/22 17:48

推 bruce2248   : 比亂騙人下車的浩多了 07/22 17:49

→ sunday0913  : 有廣達的快跑 07/22 17:53

→ dawnline    : 一群文盲都不看內文 笑死 07/22 17:57

噓 chiefchief  : 07/22 18:03

噓 kt9701      : 每次都騙人脫手.散戶賣掉後狂噴.AI正熱 07/22 18:04

→ kt9701      : 超過十天股價沒有創新高再來說AI熱度退了 07/22 18:06

→ Atwo        : 直接點名 就是你 廣達 07/22 18:09

推 foreverFF   : 馬後砲 07/22 18:16

→ fukku100    : 慘了慘了 07/22 18:20

噓 dbdudsorj   : 守十年是吧 07/22 18:20

→ peter0603   : 老洩 07/22 18:23

噓 Crushredkiss: 廣達掰 07/22 18:30

推 godchildtw  : 買紅茶店然後守株待兔 07/22 18:31

→ peter8      : 老洩又在開玩笑了. 07/22 18:34

推 gn077716076 : 丸子 閉嘴啊 07/22 18:36

→ c928        : 丸子，下週崩崩 07/22 18:38

噓 lunarexia   : 垃圾王八蛋！ 07/22 18:47

→ labview     : 老謝是不是想偷臭海公公 07/22 18:52

推 vinsh       : 嚴格說不是馬後炮喔 去年今周刊就有報導很看好伺服 07/22 18:55

→ vinsh       : 器的報導 07/22 18:55

推 smbtomas    : 馬後炮之神 07/22 18:58

噓 topsun      : 馬後砲 07/22 19:12

推 ccmacker    : 我投資都跟在老洩對面，蒿吐露絲？ 07/22 19:15

→ kenro       : 老謝其實就是趨勢的心得報告，他也沒法預測什麼 07/22 19:15

噓 apple72003  : 1分鐘有60秒，玩股票就是買低賣高，賺錢如此簡單 07/22 19:22

噓 csluling    : 又來寫心得報告了喔 07/22 19:30

→ gowang19    : 丸子 07/22 19:41

推 autherlike  : 看漲說漲 我問你怎麼輸 07/22 19:58

推 iamsosorry  : 他這次標的台泥 半年後來看看 07/22 20:02

推 gbman       : 丸子CC 07/22 20:02

推 vlee        : 是老謝反指標強還是廣達AI強？都幾？ 07/22 20:15

推 shiii       : https://i.imgur.com/AstZ1Xv.jpg 07/22 20:54

→ shiii       : https://i.imgur.com/jxAVQXj.jpg 07/22 20:56

→ brella      : 金口一開，各位應該知道怎麼操作了 07/22 21:40

推 jatin       : 空頭股票一副想要創新低的台泥 07/22 21:55

→ jatin       : 還要叫人買，到底是套多少要別人幫你解套？ 07/22 21:55

推 jatin       : 要看綠能不如去鎖國統，包案接一堆了，股價也有台高 07/22 21:58

→ jatin       : 一波，未來看好挑戰前高 07/22 21:58

→ uam         : 買鴻海的哭哭 07/22 22:35

→ zorro1111   : 守你老...... 07/22 23:18

推 chiuweiyu   : 老謝出場率會不會太高 07/23 00:32

推 gujason9511 : 根本是小丑 07/23 01:03

噓 dazzzlee    : 老謝就是噓 07/23 02:15

噓 coolgigi    : 財金界的裝熟達人 07/23 08:31

噓 AGODC       : 對帳單拿出來 別嘴砲 07/23 10:25

噓 dazzzlee    : 洩粉夠了沒 一直PO 07/23 14:12

推 yang57      : 完了………洩大師ㄧ開口變成廣達肉醬......香。 07/23 14:51

推 hwyi        : 股板人人都是大師，老謝算什麼 07/23 15:28

推 Catdatfat   : 買了沒 07/23 16:19

噓 k9866       : 我只想看老洩的對帳單 07/23 19:17

噓 MiniArse    :  ...... 07/23 21:30

推 setopbox    : 爆大量了嗎？ 07/24 16:18

→ oldchang1205: 回來看這篇文 老洩真的神 07/31 12:43
