作者homura456 (叫我肥宅)看板Stock標題[新聞] 台積電驚天一擊 把一掛大廠打趴在地！謝時間Sat Jan 14 11:25:32 2023
→ jalai       : 抱BTC不是更爽? 01/14 11:27
推 fabdawn     : 多這麼多廠  獲利竟然只有相當..這不太妙吧 01/14 12:19

推 edieedie    : 呵呵 01/14 12:22

推 suliwen76   : 打趴大廠還是打趴股東 01/14 12:22

噓 a11210135   : 去年還在說產線滿載，今年一到馬上說上半年利用率下 01/14 12:24

→ a11210135   : 滑？ 01/14 12:24

推 Jerry469    : 丸子 週一蹦 01/14 12:30

噓 yangweiisi  : 2字頭見囉 01/14 12:36

推 Andrew86    : 我比較愛折折 01/14 12:37

推 uam         : 老謝看漲說漲，看跌說跌 01/14 12:39

噓 Shepherd1987: 39塊是吃到匯率甜頭 01/14 12:41

推 gokuhwanlai : 馬後謝 01/14 12:42

推 winston99422: 看來目前500是個坎？ 01/14 12:44

→ kyova       : GG搞不好下一輪大爆噴就市值破兆鎂了 01/14 12:45

→ kyova       : 牙膏我看乾脆像AMD之前一樣跌爛再浴火重生好惹 01/14 12:47

推 poeoe       : 讚啦 等著看了 嘻嘻 01/14 12:48

噓 Ligamenta   : 美積電和日積電是在運作了哦 01/14 12:49

推 soulmola    : 跌的時候不講 漲的時候拼命出來喊 01/14 12:49

→ poeoe       : 去年一月股版也是一堆喊什麼會破千 笑死 01/14 12:50

推 ups         : 丸子蒸的丸子 01/14 12:51

推 ak007       : 騙人的老人 01/14 12:52

噓 CloserJ     : 大漲而已 馬後炮一堆紛紛出籠了 01/14 12:53

推 interact    : 老謝開示了 01/14 12:57

推 roiop710    : 早洩幫台GG打強心針回600，幹700 01/14 13:01

→ roiop710    : 下週台股歐硬作多，北上發車～嘟嘟 01/14 13:02

推 clairehao   : 每次這樣說的時候 當初買五六百的台積電也認為不可 01/14 13:11

→ clairehao   : 能再有500以下 01/14 13:11

推 q09701023   : 啪 沒了 01/14 13:11

推 blue500     : 他自己回看自己的文章不覺得都廢話嗎 01/14 13:16

推 poi963841   : 看來該進場牙膏了 01/14 13:20

推 boykid      : 老謝果然是看結果分析專家 01/14 13:25

推 prog        : 馬後炮大師 01/14 13:27

推 PitzMan     : 驚天一擊也把空軍打掛... 01/14 13:29

→ fallinlove15: 市場熱錢還是很多的感覺 但我沒有證據 01/14 13:30

推 a781106a    : 美國爸爸準備制衡了 01/14 13:30

推 kausan      : 又是你！！ 一篇一根 01/14 13:35

→ fly5566     : "谷月涵日前說下探11000點也不太可能"是直接開嗆? 01/14 13:38

推 tamynumber1 : 看來要投牙膏廠了 01/14 13:42

推 lsgsl       : 丸子，看來台積500是短期高點了... 01/14 13:43

推 hobbes      : BTC太扯了，破二萬了 01/14 13:50

推 icespring   : 丸子 01/14 13:53

推 bolovema    : 太棒了！又有機會能買3字頭GG囉！ 01/14 14:01

推 wisebani    : 看來過年後又要開始被收割韭菜了 01/14 14:01

推 lucky466    : BTC真強 01/14 14:07

推 saygogo     : 謝金河果然 01/14 14:08

噓 jason885200 : 趕快去抬轎 01/14 14:15

推 vozisland   : 自己一直漲 但一堆供應商都漲不起來 有夠奇怪 01/14 14:17

推 steak5566   : 不要這樣 要過年了 01/14 14:20

推 Rock0930    : 丸子 01/14 14:20

推 Phineas2635 : 老洩你…… 01/14 14:29

推 getx105     : 完了 01/14 14:30

推 Kenneth10   : 感謝老洩 讓我又有3開頭的gg買了 01/14 14:46

推 lionghe     : 穩了！老洩 01/14 14:53

→ ENJA        : GG要駕崩啦 01/14 14:53

推 AndyMAX     : 穩了 一鍵出清 01/14 14:53

推 koushimei   : 曲博也說了 三年內台積電沒有敵人 三星GAA 3nm基本 01/14 15:06

→ koushimei   : 上是沒用了 01/14 15:06

→ koushimei   : 唯一怕的就是地緣政治 01/14 15:07

→ fmp1234     : 乖乖設廠 01/14 15:30

推 gk1329      : 再跌回370的機率很小 cc 01/14 15:35

噓 Seikan      : 丸子 剩下兩天 一天一根 01/14 15:45

噓 kkkshiny    : .. 01/14 16:03

噓 encoreg57985: 丸了 01/14 16:27

噓 jaricho     : 丸子  老謝又開始捧了 01/14 16:35

噓 dodoro1     : 丸子 01/14 16:45

噓 dodoro1     : 謝金 01/14 16:45

推 CMD         : 完蛋 01/14 17:04

噓 SkyShih     : 廢物嘴每天顛三倒四，有沒有人把這老番顛關精神病院 01/14 17:16

→ SkyShih     : ，文組垃圾妓者是收多少錢每天編幫造神 01/14 17:16

→ qwejoezxc33 : 可憐 韭菜就是被收割的料 01/14 18:26

推 bandon1226  : 他不知道intel就在台積電美國廠隔壁 01/14 18:27

噓 Mos22       : 台積利多滿天飛 01/14 18:42

推 jesiuty     : 沒有成長這種話一說出在美股是一定要崩 還能漲俺是 01/14 18:44

→ jesiuty     : 覺得是不是有啥陰毛 01/14 18:44

→ jesiuty     : 成長股都不一定會漲了 01/14 18:44

→ rebel       : 台G破400時 一堆人覺得不行了 結果是本益比不到10 01/14 18:53

→ rebel       : 又是競爭力領先的龍頭廠商 這不甜嗎 01/14 18:54

推 ptlord0     : 太好了 又有便宜可撿 01/14 19:36

推 qwe22992168 : 洩精河 品質保證 01/14 20:29

推 j198811     : 丸子 01/14 21:01

推 abc5555990  :  推老謝 台灣國師 01/14 21:11

推 soloyi      : 10年上1000 01/14 21:41

推 northsoft   : 客戶虧錢，GG照常漲價 01/14 21:45

→ DareJ       : 謝謝 下禮拜可撿便宜 01/14 22:10

推 decorum     : 可以不聽老謝的 但台積的預測一向不亂來 01/14 22:17

噓 peterkan    : 去年他不是看衰台積電?說配息不增加就會很慘. 01/14 22:22

推 jackgn      : 半夜開燈說天亮了，外國廠都還沒營業也在吹 01/15 07:47

推 kimula01    : 其實還是可以慢慢建倉 等廠蓋好營收還不大噴發? 01/15 12:42

推 suhong      : 營收微幅成長 毛利呢？ Y23 EPS是年減的機會很大吧 01/15 13:04

→ appledick   : 台GG就是強啊，全球唯一的，到底要怎麼輸？怎麽講 01/15 15:07

→ appledick   : 都不會烙賽的 01/15 15:07
