作者joanzkow (星浪)看板Stock標題[新聞] 黃仁勳行程變動！輝達取消以色列AI高峰會時間Mon Oct  9 09:53:26 2023
→ IBIZA       : 正規軍不開出來沒機會跟以色列打  真的開出來也是 10/09 10:51

→ IBIZA       : 不夠打 10/09 10:51

→ kensmile    : 等它打了再說 10/09 10:52

→ IBIZA       : 昨天不就開始轟炸了 10/09 10:52

→ kensmile    : 那種小鳥轟炸 10/09 10:52

→ dosiris     : 以好笨 宣告戰爭殺平民就有戰爭 10/09 10:53

→ dosiris     : 罪 10/09 10:53

→ kensmile    : 跟哈瑪斯比差多了 10/09 10:53

→ kensmile    : 要打用力點 10/09 10:53

→ IBIZA       : https://reurl.cc/a4LbD3 10/09 10:53

→ IBIZA       : 小鳥轟炸 10/09 10:53

→ IBIZA       : 怎麼有人覺得不宣戰就可以殺平民 XDDDD 10/09 10:53

→ dosiris     : 說是大規模反恐就能閃過去 普丁都比你聰明 10/09 10:53

推 deepelves   : 笑死，你知道以色列不擇手段到會使用白磷彈嗎 10/09 10:54

→ kensmile    : 才這樣 10/09 10:54

→ IBIZA       : 怎麼有人覺得不宣戰就可以殺平民 XDDDD 10/09 10:54

→ IBIZA       : 還閃過去咧XDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD 10/09 10:54

→ kensmile    : 叫以色列用力打好嗎 10/09 10:54

→ deepelves   : 溫壓彈、JDAM、鑽地炸彈，太多可以殺光哈瑪的玩具了 10/09 10:54

→ kensmile    : 好啦，做了再說 10/09 10:55

→ kensmile    : 沒贏都是屁 10/09 10:55

→ IBIZA       : 作了你也一樣睜眼說瞎話啊 10/09 10:55

→ kensmile    : 你比較專長 10/09 10:55

→ IBIZA       : 就你改甚麼86億成交圖  還有白天不懂夜的黑圖一樣 10/09 10:55

→ kensmile    : 還會腦補 10/09 10:56

→ IBIZA       : 誰專長大家都知道啦 10/09 10:56

→ IBIZA       : 笑死 10/09 10:56

→ IBIZA       : 假圖王 10/09 10:56

→ kensmile    : 86億成交圖，又在扣帽子 10/09 10:56

→ IBIZA       : 誰像你這樣啊 10/09 10:56

→ kensmile    : 凹單王 10/09 10:56

→ IBIZA       : 笑死我 10/09 10:56

→ IBIZA       : 誰扣帽子XD 10/09 10:57

→ kensmile    : 又笑死了 10/09 10:57

→ kensmile    : 白包不用給我 10/09 10:57

→ IBIZA       : 要我找你改的86億圖出來嗎 10/09 10:57

→ kensmile    : 找啊 10/09 10:57

→ kensmile    : 快點啊 10/09 10:57

→ qwertymax56 : 台灣跟以色列做得差很多吧 台廠做的都是代工 ，以 10/09 10:57

→ qwertymax56 : 色列做的是開發及研究 10/09 10:57

→ IBIZA       : https://i.imgur.com/P3fy6yZ.png 10/09 10:58

→ IBIZA       : 甲鬼甲怪 10/09 10:58

→ kensmile    : 86億圖呢 10/09 10:58

→ kensmile    : 編謊話嗎 10/09 10:59

→ kensmile    : 快拿出來 10/09 10:59

→ kensmile    : 這種咖專門污衊，也在信 10/09 11:00

→ kensmile    : 你不是有86億改圖，拿出來 10/09 11:00

→ IBIZA       : 啊  是84億 10/09 11:00

→ kensmile    : 你沒拿出來，滾出股板可以嗎 10/09 11:01

→ kensmile    : 總不能靠污衊為樂 10/09 11:01

推 dosiris     : 有84億會來股板? 10/09 11:03

→ kensmile    : 拿不出來，請你離開股板 10/09 11:03

→ kensmile    : 快拿 10/09 11:03

→ dosiris     : 光有2億你各位就看不到我了 10/09 11:03

→ kensmile    : 污衊，栽贓，很可恥 10/09 11:04

→ kensmile    : 快拿出來 10/09 11:04

推 kamichu     : 一個禮拜就打完了 以的復仇是很狠的 10/09 11:04

→ IBIZA       : https://i.imgur.com/LP5Eine.png 10/09 11:05

→ IBIZA       : https://reurl.cc/V4NvWb 10/09 11:06

→ kensmile    : 呼叫IBIZA,你說的偽造對帳單在那 10/09 11:06

→ IBIZA       : 圖床有些已經失效了 直接看討論吧XDDDD 10/09 11:06

→ kensmile    : 不然我們去律師公證 10/09 11:06

→ IBIZA       : http://imgur.com/a/DdLQMbQ  其中一個沒失效的 10/09 11:06

→ IBIZA       : 又要去律師公證了 XDDDDDDDD 10/09 11:06

→ IBIZA       : 上次約我去找律師公證 結果沒來 10/09 11:07

→ IBIZA       : 硬說有到  還貼了一張圖想證明自己有到 10/09 11:07

→ kensmile    : 我的帳戶沒錯啊 10/09 11:07

→ IBIZA       : 結果晚上七點貼一張外頭是大白天的圖 10/09 11:07

→ kensmile    : 怎麼了嗎 10/09 11:07

→ IBIZA       : 被譏笑 白天不懂夜的黑 10/09 11:07

→ IBIZA       : 被譏笑 白天不懂夜的黑 10/09 11:07

→ IBIZA       : 好了啦 10/09 11:08

→ kensmile    : 說我偽造 10/09 11:08

→ kensmile    : 你已經毀謗 10/09 11:08

→ IBIZA       : 整天在那邊貼甲圖...抱歉是假圖 10/09 11:08

→ kensmile    : 公訴罪 10/09 11:08

→ IBIZA       : 那趕快去告 10/09 11:08

→ IBIZA       : 那趕快去告 10/09 11:08

→ IBIZA       : 毀謗不是公訴 別鬼扯 10/09 11:08

→ IBIZA       : 而且也沒有毀謗罪 10/09 11:08

→ kensmile    : 對帳單，為何要污衊我偽造 10/09 11:08

→ IBIZA       : 那趕快去告 10/09 11:09

→ IBIZA       : 笑死 10/09 11:09

→ kensmile    : 手機給我 10/09 11:09

→ IBIZA       : lynos就有名的假鬼假怪 名聲搞爛了 就換個id 10/09 11:09

→ kensmile    : 請你出庭 10/09 11:10

→ IBIZA       : 之前還不肯承認自己是lynos耶 10/09 11:10

→ IBIZA       : 笑死 要告還需要討手機XDDD 10/09 11:10

→ kensmile    : 你弄了假律師事務所 10/09 11:10

→ IBIZA       : 你是不是嗆告一百次 從沒提告過 10/09 11:10

→ IBIZA       : 笑死 10/09 11:10

→ kensmile    : 被搓破，腦羞 10/09 11:10

→ IBIZA       : https://i.imgur.com/P3fy6yZ.png 10/09 11:10

→ IBIZA       : 以前還不肯承認自己是lynos耶  到底是名聲多差才會 10/09 11:11

→ IBIZA       : 不敢承認 10/09 11:11

→ IBIZA       : 好了啦 甲甲公務員 10/09 11:12

→ kensmile    : 污衊別人，對帳單是假的 10/09 11:12

→ kensmile    : 是有多自卑 10/09 11:12

→ kensmile    : 小時候家教沒教好 10/09 11:13

→ IBIZA       : 我是覺得用分身還不敢承認自己就是lynos比較自卑啦 10/09 11:13

→ IBIZA       : 公務員也不差啊 為啥老是要假裝自己有錢 10/09 11:13

→ kensmile    : 靠污衊別人為樂 10/09 11:13

→ IBIZA       : 到底多自卑才會假造人設 10/09 11:14

→ kensmile    : 我在想要如何找到你 10/09 11:14

→ IBIZA       : 整天說要約 又不敢出來 10/09 11:14

→ IBIZA       : 笑死 你那天赴約不就能找到了 10/09 11:15

→ kensmile    : 污衊我假對帳單 10/09 11:15

→ kensmile    : 我們現在碰面 10/09 11:15

→ IBIZA       : 笑死 你那天赴約不就能找到了 10/09 11:15

→ IBIZA       : 不用 反正你也不敢來 10/09 11:15

→ kensmile    : 我會到 10/09 11:15

→ kensmile    : 何時 10/09 11:15

→ IBIZA       : 不用 沒第二次機會了 10/09 11:16

→ IBIZA       : 你就是一個造假的人 10/09 11:16

→ kensmile    : 看你怕被打？ 10/09 11:16

→ IBIZA       : 晚上七天發一張白天的圖以為能騙過大家 笑死XDDD 10/09 11:16

→ IBIZA       : 笑翻 怕被打的應該是不敢赴約的那個吧 10/09 11:16

→ kensmile    : 現在啊 10/09 11:17

→ kensmile    : 你不敢來吧 10/09 11:17

→ Mytsb2421   : 這種以暴制暴的戰爭不會終止的，兩國人民都可憐 10/09 11:17

→ IBIZA       : https://i.imgur.com/xA94MsA.png 10/09 11:18

→ IBIZA       : 晚上七點貼一張鏡子反射外頭是白天的照片 10/09 11:19

→ IBIZA       : 假圖王真的很可愛 10/09 11:19

推 jeff79723   : 原來是下周辦世博會，才選最近打，有一套 10/09 11:21

→ kensmile    : 笑翻，我就不想去 10/09 11:22

→ kensmile    : 這有什麼 10/09 11:22

→ kensmile    : 現在可以 10/09 11:22

→ IBIZA       : 沒甚麼啊 就假圖習慣了 10/09 11:22

→ kensmile    : 約個時間 10/09 11:22

→ IBIZA       : 不用 10/09 11:23

→ ev331       : 挖 是吃飽沒事幹嗎 10/09 11:23

→ kensmile    : 你腦補 10/09 11:23

→ IBIZA       : 反正你也到不了 10/09 11:23

→ kensmile    : 跟對帳單有何關係 10/09 11:23

→ kensmile    : 快來啊 10/09 11:23

→ IBIZA       : 你有甚麼是真的? 除了是甲甲公務員之外 10/09 11:24

→ IBIZA       : 笑死 10/09 11:24

→ kensmile    : 我不是公務員 10/09 11:24

→ IBIZA       : 不需要 反正已經證明你是假圖假人設就夠了 10/09 11:24

→ kensmile    : 如果我不是，你給我100萬，名譽賠償，如何 10/09 11:24

→ kensmile    : 如果我是，我賠你 10/09 11:25

→ IBIZA       : 不如何 就算不是 那也又只是多一個假人設 10/09 11:25

→ kensmile    : 如何 10/09 11:25

→ IBIZA       : 反正你就是假人設多 10/09 11:25

→ IBIZA       : 你有甚麼是真的? 10/09 11:25

→ kensmile    : 污衊都是你在廢 10/09 11:25

→ IBIZA       : 都是我在發? 不是吧 揭穿你假圖的人多的是 10/09 11:25

→ kensmile    : 見到我，就真的 10/09 11:26

→ IBIZA       : 你就不敢見人啊 又不是沒給你機會 10/09 11:26

→ kensmile    : 對帳單那裡假 10/09 11:26

→ IBIZA       : 你就不敢見人啊 又不是沒給你機會 10/09 11:26

→ IBIZA       : https://i.imgur.com/xA94MsA.png 10/09 11:26

→ kensmile    : 84億在哪 10/09 11:26

→ IBIZA       : 笑死 10/09 11:26

→ IBIZA       : https://i.imgur.com/LP5Eine.png 10/09 11:26

→ kensmile    : 現在就約啊 10/09 11:26

→ IBIZA       : 你就不敢見人啊 又不是沒給你機會 10/09 11:27

→ kensmile    : 84億，我之前就放過了 10/09 11:27

→ kensmile    : 到底哪裡假 10/09 11:27

→ IBIZA       : 笑死 剛剛說沒有 現在又說以前放過 10/09 11:27

→ kensmile    : 污衊成性 10/09 11:27

→ IBIZA       : → kensmile    : 84億在哪 10/09 11:28

→ IBIZA       : → kensmile    : 84億，我之前就放過了 10/09 11:28

→ IBIZA       : 自打嘴巴 10/09 11:28

→ kensmile    : 難不成，你會一天到晚污衊老婆出軌 10/09 11:28

→ kensmile    : 污衊自己小孩偷東西 10/09 11:28

→ kensmile    : 我要的是你污衊改的84億對帳單 10/09 11:29

→ kensmile    : 腦袋不清楚嗎 10/09 11:30

→ kensmile    : 污衊成性 10/09 11:30

→ a760714a    : 舅舅老蘇 10/09 11:31

推 jayto       : 真的很吵 封鎖還會占行數 10/09 11:32

→ a760714a    : https://i.imgur.com/Alib8hK.jpg 10/09 11:32

→ a760714a    : https://i.imgur.com/8onGm9h.jpg 10/09 11:32

→ a760714a    : https://i.imgur.com/fCsqVbz.jpg 10/09 11:32

推 bbbyes123   : 想說預料之內的新聞怎麼吵那麼多推文 10/09 11:32

→ a760714a    : https://i.imgur.com/qPnpeMh.jpg 10/09 11:32

→ kensmile    : 污衊改對帳單證據在哪 10/09 11:32

→ bbbyes123   : 結果是在吵過往的事情... 而且還蠻精彩的XD 10/09 11:33

→ kensmile    : 拿出來 10/09 11:33

→ kensmile    : 你是不是常常污衊自己老婆出軌？ 10/09 11:33

推 a760714a    : https://i.imgur.com/YstrtoA.jpg 10/09 11:34

→ kensmile    : 到底污衊我改對帳單的證據在哪，給大家看 10/09 11:36

推 a053971j    : 怎麼從昨天吵到今天，領域狂展開耶 10/09 11:37

→ kensmile    : 呼叫IBIZA,請支援你的羞恥心 10/09 11:37

→ ev331       : 就看的出就同一個人 你是要吵多久 10/09 11:42

→ ev331       : 你是賠很大 還是怎樣y 10/09 11:43

推 littenVenus : 別吵辣 大家都有賺錢比較重要 不用管別人 10/09 11:43

→ littenVenus : 反正股版是來交流+講幹話的地方 放輕鬆一點 10/09 11:44

→ kensmile    : 說我對帳單偽造，請拿出證據，拿不出來，跑了 10/09 11:49

→ kensmile    : 呼叫IBIZA，在嗎 10/09 11:50

→ kensmile    : 別躲了，大家正在等你 10/09 11:50

→ cl3bp6      : 討別人手機是要約跑484 10/09 11:53

→ dosiris     : 既然會有吵架行情 留待週三再吵 10/09 11:58

推 leotompp    : 老蘇：99緯創 10/09 12:00

噓 sharmans    : 幹嘛跟狗互咬 很奇怪欸 10/09 12:10

推 a760714a    : https://i.imgur.com/6hyg2Kr.jpg 你有被  性騷擾 10/09 12:13

→ a760714a    : 嘻嘻 10/09 12:14

推 a760714a    : https://i.imgur.com/jCofvQg.jpg 互相演奏樂器 直 10/09 12:15

→ a760714a    : 笛手 solo 起來 逼哩逼哩逼 10/09 12:15

推 b425k1719   : 崩 10/09 12:16

→ kensmile    : sharmans罵人是狗，你全家才是 10/09 12:18

→ kensmile    : 呼叫IBIZA，說人偽造對帳單，快把證據拿出來 10/09 12:19

→ kensmile    : 沒有證據，就滾出股板 10/09 12:20

→ kensmile    : 你還有臉在這邊嗎 10/09 12:20

→ kensmile    : 操作股票，操到罵人是狗，台灣人水準真的太差了 10/09 12:35

推 wwne1198    : http://i.imgur.com/GspVhZt.jpg 10/09 12:36

→ kensmile    : 我以為天母人都很有家教 10/09 12:36

→ deepdish    : 會怕就好 哈哈 10/09 12:58

推 a760714a    : https://i.imgur.com/PawRQCJ.jpg 10/09 12:59

→ a760714a    : https://i.imgur.com/QSSbY7u.jpg 10/09 12:59

推 pacino      : 以色列自此之後研發AI戰鬥機器人，全面部署邊境。 10/09 12:59

→ pacino      : NVDA的GPU及自駕晶片大缺貨！ 10/09 13:01

→ pacino      : 最後上車的機會！ 10/09 13:01

推 joeboy      : 這兩個從昨天閒聊吵到公告吵到這裡 10/09 13:09

推 kobegary34  : 吵到第幾round了？ 10/09 13:12

推 gk1329      : AI計算去了會不會死不行嗎= = 10/09 13:14

推 fdcbkrko    : 老蘇上禮拜一直期待的高峰會停了......怎辦 10/09 13:18

推 a760714a    : 甲種公務員 搭上甲車 聖戰 代號 甲上娛樂 10/09 13:23

→ gobo        : 取消啥呢 不是有虛擬分身嗎 10/09 14:09

推 vodkalime607: AI股的雜空死定了 幫QQ 10/09 14:14

推 Neal100     : 哲哲剛剛發文說 影響不大 10/09 14:20

→ tmdl        : 每天都有新事件 10/09 14:23

推 OneDianHwen : 炸越多，基礎設備要補越多哦 10/09 14:48

推 hihjk       : 抓到惹 以色列水泥股要買哪隻 10/09 14:50

推 BruceChen227: 以色列全力輸出很快就結束了 10/09 15:25

推 BruceChen227: 笑死 這兩個還在吵啊 10/09 15:27

→ a760714a    : 我是不是被甲級公務員 甲級操盤手 拉黑了 都不回應 10/09 15:36

→ a760714a    : 我了，他484認輸了 嘻嘻 10/09 15:36

推 thbygn98    : 整個週末都是同一個空軍xd 10/09 16:04

推 qwe22992168 : kensmile看男生下面勃起就覺得幸福 真的好變態..... 10/09 16:10

推 qwe22992168 : a760714a:互相演奏樂器 直笛手 solo 起來 逼哩逼哩 10/09 16:13

→ qwe22992168 : a760714a: 甲種公務員 搭上甲車 聖戰 代號 甲上娛樂 10/09 16:14

→ ferb        : 這群好友，那也不是說你，好氣憤要出頭主詞一開始 10/09 16:15

→ ferb        : 也不是說“我”。結案，就是個分身不承認仔 10/09 16:15

噓 duncan0319  : 這是甲文討論串嗎 10/09 16:16

推 imba789     : 沒有fu糗 10/09 16:54

推 pacino      : 怎麼甲味這麼重 10/09 17:26

推 jei01       : 哈瑪斯大概想試試看用烏克蘭那一套吧 10/09 17:29

→ jei01       : 會發動這麼大規模的攻擊一定有準備 10/09 17:29

推 puam4444    : 直接來台辦就好囉 10/09 17:45

推 asdg62558   : 老師救我 10/09 18:12

→ maxty       : 不可能幾天就打完 人家不講武德的直接混平民 10/09 19:04

推 kmshy       : 好好笑 甲級公務員又在亂 這篇也要鎖了嗎 10/09 20:39

推 sushi11     : 重視台灣，噴惹 10/09 22:55

→ a000000000  : 尼484paler 10/10 00:22

推 jhihheng    : 小國打仗干我們屁事 10/10 00:28

推 xtt         : 網路世界誰先認真就輸了 10/10 01:29

噓 cdplay000   : 會怕 10/10 10:09

推 coneflwer   : 皮衣刀客也怕x 10/10 16:24

→ sunsolars   : 先救出薇薇公主 10/10 19:38

推 israelii    : 其實台灣也沒比較好，同樣算是在高戰爭風險的區域 10/11 18:01
