作者Paul1021 (胡迪)看板Stock標題[新聞] 緯創、緯穎高層賣股 惹議時間Wed Jun 14 09:29:52 2023
推 sanwan      : 高層認證現在是高點 06/14 09:30
推 kinki999    : 才幾百張頂多拿個零用錢來花花 06/14 09:46

推 AndyMAX     : 相較之下 台積電魏董真是佛心 低點帶股東買股 高點 06/14 09:46

→ AndyMAX     : 一起抱 cc 06/14 09:46

推 liocorno    : 跨陶 06/14 09:46

推 ayai555     : 熟悉的味道 06/14 09:47

→ jk01        : 高歌離席 06/14 09:48

推 f99999993   : 高層有料 06/14 09:49

→ house911    : 你知我知大家心照不宣 ? 06/14 09:50

推 icespring   : 熟悉的味道 06/14 09:51

推 zxcv91039   : 今天繼續拉 要破百了 06/14 09:52

→ zxcv91039   : 市場誰管你賣股 06/14 09:52

推 photonic    : 76T解套 06/14 09:53

推 cm1241      : 以前高層高點賣股不是都被罵的嗎，這裡特別不一樣 06/14 09:53

推 topaaron12  : 等會就有畢業文了 溫馨 06/14 09:55

推 lakershank  : 韭菜啊現在都多少了 06/14 09:55

噓 KadourZiani : 利空就是繼續嘎空 06/14 09:55

推 fakelie     : 老蘇888 06/14 09:55

推 auskin      : 準備漲停了 06/14 09:56

推 transforman : 高歌離席乾記者屁事 06/14 09:56

推 health0423  : 不然要跟散戶抱上抱下嗎 06/14 09:56

推 westmoney   : 不跑難道當韭菜？ 06/14 09:56

→ fudick      : 趕快跑 06/14 09:58

推 snowmag     : 惹議？ 高檔不跑？ 06/14 10:00

推 Wallen      : 相信這篇的空軍還有燃料嗎 06/14 10:00

推 HaHaPoint   : 看來要漲停惹 06/14 10:00

→ blue1204    : 被點到的兩隻 都爆漲 笑爛 06/14 10:01

推 swda002766  : 創...創新高.... 06/14 10:01

推 xyzgod999   : 請協尋滅世大將軍 06/14 10:02

→ Kyo5566     : 哪個買賣股票的人不是理財規劃？難道進股票市場的 06/14 10:02

→ Kyo5566     : 人是做公益嗎？ 06/14 10:02

推 cityhunter04: 逢高賣出套利很正常啊！ 06/14 10:02

推 siopp       : 高層賣股後通常再噴一段然後就…. 06/14 10:03

→ jacvky      : 漲高獲利了結有啥好惹議的= = 記者眼紅? 06/14 10:03

推 a5545855    : 緯創尾影要漲停了 這篇笑死 06/14 10:03

噓 u6vu040531  : 塊陶啊 06/14 10:04

推 MingPK      : 呼叫每日預測緯創跌停的酸仔 06/14 10:05

→ Zepho       : 一發完直接起飛 好狠 06/14 10:05

推 louisnan    : 這篇是啥鬼 沒賣在高點而且賣那一點點也能報.. 06/14 10:06

推 zhi5566     : 本來就是炒上去賣啊 難道恢復正常才賣嗎 06/14 10:06

推 clamperni   : 終於等到大場面了 06/14 10:06

→ learnbao    : 越賣越噴 06/14 10:07

推 photonic    : 和碩要輸緯創了 笑死 06/14 10:07

推 AustinRivers: 訊號來了 06/14 10:08

推 banbantone  : 高割離席 錯在哪 06/14 10:09

→ AustinRivers: 魚尾給散戶吃 06/14 10:09

噓 xyzgod999   : 高點跌下來啦，滅世大將軍呢？ 06/14 10:09

→ occboy      : 人家不能賺錢逆 06/14 10:09

噓 chang7741   : 喔 06/14 10:09

推 andyher     : 國巨董娘，長榮經理人表示 06/14 10:11

→ Haoww       : 別忘了菜市場的大戶，最怕有人賣的比他早 06/14 10:11

→ MingPK      : 錯在有很多人被嘎空手每天酸很悲憤XD 06/14 10:12

推 Derry20732  : 蒸丸 06/14 10:13

推 s56565566123: 不然哩 他不賣你買得到嗎 06/14 10:13

推 Deeeermisi  : 萬海50幾的時候也有內部人賣180張啊 後來翻了六倍^_ 06/14 10:14

→ Deeeermisi  : ^ 06/14 10:14

→ lmc66       : 那麼多人想買 佛心釋出一點籌碼 06/14 10:14

推 boykid      : 釋出一些給大家買，錯了嗎 06/14 10:15

→ goodjop     : 老闆缺錢啦 06/14 10:16

→ Derricklin21: 笑死 300多張是外資的零頭吧 06/14 10:16

推 Cowyau      : 才300多張 06/14 10:17

推 joeboy      : 逢高賣 逢買低 不然要等低才賣嗎 06/14 10:18

推 tenghui     : 緯哥的雜空們今天全部陣亡 可憐 06/14 10:22

→ a9724145300 : 連自家人都不信果凍 06/14 10:22

推 tsaiadam    : 賺爛了賺爛了 06/14 10:23

推 chiro1982   : 訊號來了？ 06/14 10:23

→ a9724145300 : 看來這下夏普真的居居了 06/14 10:23

噓 weibibby    : 高層賣股票 賣廠房 ，股票漲停板 ，台灣的玩法就是 06/14 10:24

→ weibibby    : 不一樣 06/14 10:24

推 luche       : 順便退休根本沒差 06/14 10:24

推 kamener     : 適當停利啊 06/14 10:29

推 Cliffx      : 可以賣了 06/14 10:29

→ bonaqabo    : 賺死 還不倒貨？ 06/14 10:29

推 keltt       : 今天大漲 06/14 10:36

推 Chilloutt   : 把辣雞股當喜劇在看，保證賺錢 06/14 10:41

推 caity       : 漲高了不能賣嗎? 06/14 10:41

推 panda816    : 高割離席 掰掰囉~ 06/14 10:45

推 edwardtp    : 但是到現在還在漲 06/14 10:46

推 tamynumber1 : 跳船啦 06/14 10:50

推 hold5566    : 炒股公司 跟著專業走 06/14 10:51

推 hirosue5566 : 韭菜不割難道要讓他跑了喔 06/14 10:51

推 ohya111326  : 前妻 06/14 10:57

推 adwn        : 高歌離席 06/14 10:57

推 hirosue5566 : 想要吃魚尾要跑的即時，看看天鈺敦泰開始時跌時營 06/14 10:58

→ hirosue5566 : 收正好 06/14 10:58

推 jayf        : 明明獲利沒那麼多，股價先漲翻天，先割一波韭韭不意 06/14 10:59

→ jayf        : 外 06/14 10:59

推 saintmen    : 訊號來了？ 06/14 11:00

推 allofchen   : 漲到自己都不信 06/14 11:03

推 snoopy790428: 很多人都覺得自己的公司產品很廢不相信股價會飛天 06/14 11:07

推 bobjohns    : 高割離席 06/14 11:09

推 mdkn35      : 低買高賣不都這樣？ 06/14 11:15

推 yee         : 內部高階經理人把股票拿出來賣，讓散戶買便宜一點 06/14 11:19

→ yee         : ，佛心來著，還不蟹煮榮恩 06/14 11:19

推 megee       : 謝謝你 06/14 11:20

→ a112112g    : 訊號來了 糕點已到 高歌離席 06/14 11:22

→ benptt      : 不然留下洗碗膩？ 06/14 11:24

→ benptt      : 前公司高層，出脫跟買入，都是高低點差一檔，堪稱 06/14 11:26

→ benptt      : 股神 06/14 11:26

→ benptt      : *我的前公司 06/14 11:26

推 disk249     : 漲多不能賣一下嗎 06/14 11:34

推 A816        : 你的前公司自己在造價的吧 06/14 11:35

→ k798976869  : 能賺先入袋 魚尾給你們 06/14 11:41

→ laechan     : 現在不賣當阿呆? 06/14 11:44

→ laechan     : 高層會去算股價x股數,跟實際該有的市值偏離了多少 06/14 11:45

→ laechan     : 別的不說某些觀光相關的可能也有高層在高檔賣股 06/14 11:45

推 b1izzard2000: 高割離席 06/14 11:47

推 good10740   : 賣之前 觀測站有公開，還追自己負責 06/14 11:59

推 a55770      : 賣股買房換資產而已 06/14 12:03

推 vatog       : 莫忘國巨 06/14 12:03

推 smb1013     : 賣得不多啊 06/14 12:15

噓 dethes      : 緯創滅世將軍駕到，畫一座山為明天跌停準備，股東會 06/14 12:16

→ dethes      : 前再跌停一次 06/14 12:16

噓 surferblue  : 台股就是炒而已 這些公司有護城河？ 06/14 12:23

→ appledick   : 昨天AMD都講了 這 只 是 剛 開 始 06/14 12:25

→ train60125  : 現在高點先賣，改天說不定要增資還可以用員工特定 06/14 12:26

→ train60125  : 人便宜認 06/14 12:26

推 c7683fh6    : 信號來了 06/14 12:29

推 hotdogmc    : 國巨也是這樣崩的 06/14 12:30

推 snowdraught : 前妻 06/14 12:37

→ jeremyyyy   : 炒這樣，營收高層都知道啊XD 06/14 12:38

推 photonic    : 應該等配息強制回補 結束這回合 06/14 12:40

推 CCben       : 國巨 06/14 12:43

推 jerrykyo    : 不知道你們看到什麼未來 06/14 12:56

推 billionaire : 笑死 06/14 13:00

→ greattower  : 99張而已？ 06/14 13:02

→ bigair888   : 高層真的是一絕 06/14 13:02

推 f204137     : 0.06還不賣... 06/14 13:07

推 victorytim  : 懂得都懂 06/14 13:20

推 herculus6502: 呵呵 06/14 13:35

推 e44444      : 訊號來了 06/14 13:39

推 jonaswang01 : 美股耶這樣啊，自己愛追的 06/14 13:40

推 bear31223   : 今天緯創創新高 根本沒影響啊 06/14 13:43

推 IDF5566     : 現在賣很正常，光股利就賺好幾年了 06/14 13:59

噓 keigo800004 : 已領超過20年股利，當然賣股啊！ 06/14 14:01

推 firxd       : 自己人知道過譽先跑了 正常啊 06/14 14:21

→ ImHoluCan   : 300多張還貼出來 06/14 14:40

噓 RedLiam     : 人家可能有3000張零成本的，賣個一成換跑車不行？ 06/14 14:46

推 kevin540    : 878: 06/14 16:03

推 jerry70627  : 快跑... 06/14 16:44

推 NiKuKuO     : 都還沒噴上去  都是自以為聰明可以高拋低西 06/14 16:57

推 ichero01    : 高點不賣 才是傻子 06/14 17:01

推 BMHSEA      : 惹什麼議 菜雞生命的意義嗎 06/14 17:23

推 zzzz73919   : 最懂公司營運的賣股 06/14 17:28

推 okah        : 完 06/14 18:02

推 vicccf      : 一句“理財規劃” 什麼都解釋的通 非常好用 06/14 18:04

推 followwar   : 好險70丟了 06/14 20:14

推 Momsoup5566 : 我只信董娘賣股 06/14 21:12

→ aucky       : 要買要賣自己決定啊 06/14 21:37

推 kkman1210   : 誘空 06/15 06:01

推 wong8210    : 笑死   之前航運還不是照樣翻倍 06/15 07:19

→ wong8210    : 上看100啦 06/15 07:19
