作者VANNN ()看板Stock標題[新聞] 中國金融炸鍋！中植系旗下中融信託暴雷時間Mon Aug 14 12:10:20 2023
→ leavefly    : 跟恆大碧桂圓比只是小事~只會影響高淨值客戶 08/14 12:11
推 jin956      : 中國只要再來次鬥地主+人民公社就能解決所有問題 08/14 12:37

推 stlinman    :   "雷曼式崩跌" 終於要來了嗎? 08/14 12:38

推 rada118     : 看成中國信託 嚇一跳 08/14 12:38

推 wei9898     : 中租還好嗎？ 08/14 12:39

推 ptta        : 跟雷曼兄弟比起來，還是差一截 08/14 12:40

→ elmer       : 這個是中國把香港錢轉進中國大一統最好的機會 08/14 12:43

推 Wildsheep   : 再大的問題除以14億都微不足道啦 08/14 12:43

→ elmer       : 有100個理由把香港榨乾 08/14 12:43

→ duncan0319  : 中國信託也很多 08/14 12:43

推 a606152004  : 6000億除以14億人 08/14 12:44

→ a606152004  : 你們每個中國人拿430塊就能救國 是不是沒有愛國心？ 08/14 12:44

推 airawesu    : 學韓國人自募黃金救國家(誤 08/14 12:45

推 drraujn     : 金融爆炸會連帶rmb暴跌，對台灣是利多吧？我公司三 08/14 12:46

→ drraujn     : 角貿易美金計價從中國出口,再拿鎂兌rmb付員工薪水 08/14 12:46

→ z256418     : 要像雷曼崩跌至少要國際大行等級的好嗎，像中國銀 08/14 12:46

→ z256418     : 行 、中國工商這種衍生性交易跟其他全球大行串一起 08/14 12:47

→ z256418     : 的爆開來才精彩 08/14 12:47

推 adwn        : 不怕，那次不是百姓買單 08/14 12:47

推 pz5202      : 哦 我很佩服韓國人！韓國人真的愛國！ 08/14 12:47

推 drraujn     : 欸.現在韓國人不一定會照樣做,那個財閥太惹民怨啦 08/14 12:49

推 xuane       : 平均一人賠不到一千rmb，安啦 08/14 12:50

推 a8017700    : 我們還有人想親中和談服貿，呵呵 08/14 12:50

推 rayisgreat  : 血流成河啦 08/14 12:51

噓 Akitsukineko: 吵什麼 還沒開始吃草呢 08/14 12:51

推 drraujn     : 上次封城就開始吃綠化帶惹,吃草ok啦 08/14 12:52

噓 iansuture   : 中國遊樂園代幣壞了嗎？ 08/14 12:53

推 s72005ming  : 離世就不用給付了 08/14 12:54

推 dai3345678  : 我們要相信黨 08/14 12:55

推 laogiby     : 還好吧 除以14億 一個人少吃幾餐就有了 安啦 08/14 12:55

→ LMgogo      : 先關心富邦股價好嗎 08/14 12:55

推 guowei616   : 有差嗎 中國人吃草可以活一年 睡茅屋可以睡10年 08/14 12:56

推 chunfo      : 中信會不會被錯殺 08/14 12:57

噓 deedo       : 可以不要傳這麼長的長輩圖嗎？要滑很久很不方便 08/14 12:59

噓 s860703     : 人家風暴 台股沒風暴照殺有差嗎zzz 08/14 12:59

推 apfalselife : 最晚上上禮拜就有影片討論.等今天才算爆? 08/14 13:01

推 WTF55665566 : 台股就漲多了 需要理由回檔 08/14 13:01

→ sagarain    : 結果台股殺更兇 怕 08/14 13:02

推 a0921830077 : 中融主要是貸款給房地產 暴雷的話是客戶撐不住餒 08/14 13:08

→ a0921830077 : 變相代表整個中國房地產都要撐不住了 08/14 13:08

→ a0921830077 : 中植自己暴雷的話就是中值自己一家公司會倒 08/14 13:09

推 WTF55665566 : 中國房地產本來就在死稱 還有人幻想獨裁就是萬靈丹 08/14 13:09

→ WTF55665566 :  現在可以印證了 08/14 13:09

→ a0921830077 : 中融暴雷是整個房地產行業已經不行了 差很多 08/14 13:09

噓 kensmile    : 台灣也差不多了 08/14 13:11

→ kensmile    : 最好一起爆掉，哈哈 08/14 13:12

推 WTF55665566 : 差多了 台灣房地產泡沫根本沒開始 銀行規範不動產 08/14 13:13

→ WTF55665566 : 槓桿的制度也完善多了 08/14 13:13

→ WTF55665566 : 支那自己爛自己下去啦 不要想拖人下水 08/14 13:13

推 blueseason  : 中或成最大贏家！ 08/14 13:14

推 b1izzard2000: 喪事喜辦 沒事兒 08/14 13:18

推 a524528     : 不是都是高收入全體的問題，會造成大量金融商品贖回 08/14 13:20

→ a524528     : ，加速整體債務暴雷的速度，民營銀行會有倒閉潮， 08/14 13:20

→ a524528     : 債務都是一環扣一環的 08/14 13:20

推 blooorobert : 在此宣佈美國巴巴獲勝 08/14 13:24

推 viewer1946  : 贏 https://i.imgur.com/x7lUiOu.jpg 08/14 13:25

推 juseschen   : 24樓轉貼的長文看了覺得一陣噁心 08/14 13:27

推 cuteme5566  : 真希望台灣房市爆掉 08/14 13:28

推 k91011022   : 台灣營建股跟跌 可以檢阿 08/14 13:28

推 ZunYin      : 這個不用去查 08/14 13:32

推 ooxx05312   : 從上到下都沒在保障人民的 08/14 13:34

推 mukuro      : 計畫經濟，計畫通 08/14 13:34

推 joe2        : 社會主義，社會崩 08/14 13:36

推 fatfatjohn  : 才6000e,14e人每人拿430出來就解決了 08/14 13:43

推 cblade      : 中國真的好廢 08/14 13:43

噓 kensmile    : 說台灣不會炸的，等著看 08/14 13:47

推 waitrop     : 24樓的長文一直在鼓吹政府的好跟政府的努力解決問題 08/14 13:50

→ waitrop     : 看了的確噁心,可以直接就問題說明,不要一直歌頌政府 08/14 13:51

推 leftwalk    : 安啦 中共維穩一流的 08/14 13:54

推 gibbs1286   : 穩啦，反正頂多回人民公社 08/14 13:56

推 WTF55665566 : 吃樹皮大躍進2.0？ 08/14 14:01

推 ravelson    : 再這樣下去就只能備戰轉移焦點了 08/14 14:02

推 KrisNYC     : 這是央企阿 央企出問題國家出來保證兌付就解決了 08/14 14:04

→ KrisNYC     : 除了一直歌功頌德也沒有別的辦法了不是? 08/14 14:05

→ WTF55665566 : 保證兌付什麼？空氣？ 皇朝末年什麼保證都沒屁用 08/14 14:06

推 johnson44   : 抓幾個貪官加企業處理一下就有錢了 08/14 14:07

推 aegis43210  : 只能用人行買進MBS來解決問題了吧 08/14 14:10

推 sungtau     : 這有錢人在投的，中共不救 08/14 14:13

推 scott29     : 放心，中國人可以吃草吃一年 08/14 14:23

→ s9300519    : 為什麼要把房產當經濟火車頭呢？ 08/14 14:26

推 cocogogo    : 中國信託 先一根 08/14 14:29

推 a0921830077 : 蓋房子有工作機會》有工作賺錢》賺錢再買房》無限循 08/14 14:39

→ a0921830077 : 環 08/14 14:39

→ a0921830077 : 戰後經濟都是這樣起來的 08/14 14:39

推 decorum     : 房市崩潰 房事自然也完蛋 少子化更嚴重 無限輪迴 08/14 14:40

噓 adiharu     : 看成中國信託 嚇死我 08/14 14:40

→ npc776      : 乖乖下鄉勞改去吧 可撥 08/14 14:43

推 metallolly  : 24樓長輩圖看完真的好笑。 08/14 14:56

→ metallolly  : 後面開始打悲情牌 08/14 14:56

推 oopsskimo   : 雷曼兄弟（陸版 08/14 14:59

→ stocktonty  : 中國次貸開始了 刺激!! 08/14 15:00

推 nt880245    : 呵呵 08/14 15:19

推 thegiver210 : 糟了，這要怎麼反觀台灣？！ 08/14 15:20

→ thegiver210 : 前幾篇已經反觀台北淹水、反觀台灣房價太高、反觀 08/14 15:20

→ thegiver210 : 台電負債太多、反觀台股下跌。支八版的反觀超人們 08/14 15:20

→ thegiver210 : ，快來親自示範、親自部署吧！ 08/14 15:20

推 codehard    : 反觀 08/14 15:37

推 jay0055846  : 小事兒小事兒 08/14 15:46

推 languery    : 就只會放一句話等著看什麼道理數據都沒有，五毛真 08/14 15:49

→ languery    : 好當 08/14 15:49

推 vo5566      : 不要救比較好 打掉重練 08/14 16:25

推 lonelysam   : 沒差吧 10多億人幫忙分攤 小錢～ 08/14 16:34

推 ben0715     : 習主席安息 08/14 17:14

推 pikaq       : 目的是把走資派紅二代的金錢西方勢力清出去，包子 08/14 17:15

→ pikaq       : 頂多是在開會被紅二代罵的時候臉色鐵青，但實際上他 08/14 17:15

→ pikaq       : 還會是會繼續這樣做。 08/14 17:15

推 mp5good     : 台灣是沒那麼誇張 但如果繼續全民買房 以後也會很痛 08/14 17:16

→ mp5good     : 解決炒房問題 先從讓人民不用買房子開始 08/14 17:16

→ pikaq       : 最好回到改革開放的之前，愚民越多越好，整個監控狂 08/14 17:16

→ pikaq       : 洗腦，這樣就成為金正恩了。 08/14 17:16

→ mp5good     : 打破買房是穩賺不賠的投資這個錯誤信念 08/14 17:17

推 bbo40453    : 中國大城市的房價所得比台灣高蠻多的，反觀也沒用 08/14 17:27

→ gino321     : 中國一直贏一直爽 08/14 17:29

推 hololive45P : 台灣房市離泡沫還太遠太遠，槓桿率遠低於中國而且 08/15 08:45

→ hololive45P : 法規又相對健全很多 08/15 08:45
