作者banbee100 (BB)看板Stock標題[新聞] 2022台灣人均GDP 首度超車南韓時間Mon Jan 30 17:25:27 2023
推 qwe78971    : 扣掉房地產至少落後30% 01/30 17:26
推 raygod      : 電子業跟海運有賺而已吧 貧富不均 01/30 17:39

→ npc776      : 拖累平均我很抱歉 01/30 17:39

噓 cpz         : 阿扁敗掉的，小英收復，小英政績+1 01/30 17:40

→ cpz         : ...，我還以為是八卦版，完了... 01/30 17:40

推 windblood   : 經濟火車頭你敢嘴 01/30 17:41

推 yannicklatte: 太神啦！ 01/30 17:41

推 miyazakisun2: 輸輸贏贏的很正常  都做一樣的事情 01/30 17:41

推 cerwvk      : 蠻強的, 但看到GDP, 高房價也是可以拉GDP的. 01/30 17:42

→ cerwvk      : 所以等進一步分析GDP組成的文章. 01/30 17:42

推 southes     : 好 01/30 17:42

推 piliwu      : 台灣問題是房地產佔GDP太少某人反指標 01/30 17:43

推 xsx         : 拖累平均的我，在這恭喜各位~~~ 01/30 17:43

→ kinki999    : 韓國房價不是也砍滿多的～ 01/30 17:43

→ clean123    : 就更兩極啊，扣掉半導體多慘… 01/30 17:43

→ piliwu      : 美國房地產佔比都贏台灣 01/30 17:43

推 q1478584    : 台積電毛利60幾趴 台積佔比就多少了 不意外啦 01/30 17:44

推 jenchieh5   : 值不值得開心不曉得，但我確定拉低了平均 01/30 17:44

→ badgreen    : 看數字是馬囧八年敗掉台灣 01/30 17:44

噓 tsujishiori : 台灣人均GDP沒有超過美國新加坡達到8萬美金就會有 01/30 17:46

→ tsujishiori : 人酸民進黨執政無能 01/30 17:46

推 karta018    : 韓國房價也很高啦，兩邊年輕人都蠻慘的，台灣是受惠 01/30 17:47

→ karta018    : 這幾年半導體飛天，韓國是相較沒有那麼集中在科技業 01/30 17:48

推 BarryDale   : 水啦，超車就是給一個讚！ 01/30 17:48

推 sanders     : 去年韓國用GNI計略贏台灣 今年沒辦法了 很像2004年 01/30 17:49

→ sanders     : 台灣為了維持領先硬撐GDP 但沒多久就被韓一路反超 01/30 17:50

推 kinki999    : 2023年最低月薪為201萬580韓元（約台幣50,386元） 01/30 17:50

推 bala045     : 推文沒什麼在酸政府吧? 某些族群自己跳出來是? 01/30 17:50

推 lieonkon    : 酸民們幫南韓輸找理由，真貼心 01/30 17:50

推 ricky525    : 開台70年 經濟最好的時候 01/30 17:51

推 thbygn98    : 話說韓國未來幾年預測人均gdp會反彈，有人知道這個 01/30 17:51

→ thbygn98    : 原因嗎 01/30 17:51

噓 hrhrccc     : 又在自慰了 01/30 17:52

推 goodjop     : 已開發國家阿~ 01/30 17:53

推 sanders     : 韓國把底薪調太高造成產業外移跟非典型就業太多 01/30 17:53

→ house911    : 到底是跟誰平均? 01/30 17:53

推 lordwill    : 有種抽掉房地產啊 01/30 17:54

推 suntw       : 最近ptt搞認證，今天嗆政府網軍少蠻多 01/30 17:54

→ sanders     : 韓國最重要的記憶體廠有近4成在中國 基本薪的後遺症 01/30 17:54

→ laechan     : 開發中國家中的無冕王者─台灣 01/30 17:54

→ AndyMAX     : 還不都靠台GG 01/30 17:54

推 bala045     : 就看整體的幹嘛抽掉房地產 不然抽掉科技業阿 01/30 17:54

噓 xoy232      : 哇 台灣之光 我怎麼這麼窮 01/30 17:55

→ goodjop     : 這種新聞只會讓社會底層的人 覺得世界越來越遠 01/30 17:55

→ sanders     : 台灣GDP主要是靠半導體外銷其實跟韓國一樣 房價是經 01/30 17:55

→ goodjop     : 寄生上流 01/30 17:56

推 rickie1141  : 南韓沒有最低月薪，只有最低時薪 01/30 17:56

→ sanders     : 濟成長的結果 不是炒房造成經濟成長 01/30 17:56

推 wade114     : 只能說，有錢人比想像多，只是比較低調 01/30 17:56

→ sanders     : 韓國對中國的半導體都可以搞到逆差 輸台灣不意外 01/30 17:56

推 bala045     : 比薪水中位數好了 01/30 17:57

推 nanachi     : 台灣有錢人真的很多 亞洲比例上僅次於新加坡而已 01/30 17:57

→ sanders     : 科技業門檻高 沒進入這領域會越差越遠 貧富差距拉大 01/30 17:57

→ sanders     : 台灣真的很多住破房騎腳踏車的有錢人 我有個朋友在 01/30 17:58

推 makoto1982  : 韓國現在是一堆約聘啦 正職缺少到靠腰 01/30 17:58

→ GoGoJoe     : 樓上 這20~30年前就要知道的事 01/30 17:58

→ sanders     : 台北20間房收租 但是只開凌志住30年老公寓 平時騎腳 01/30 17:58

噓 JiangWanan  : 物價比韓國高有屁用 馬英九時代 雞排一塊20元 便當 01/30 17:58

→ JiangWanan  : 一個才50元 現在漲多少倍了?? 01/30 17:59

→ GoGoJoe     : 被插入 我回s大的 01/30 17:59

推 PaulOneil1  : 每次這種文就會有一堆廢物魯蛇在那邊酸 01/30 17:59

推 rickie1141  : 科技業門檻沒很高吧！心理系和餐飲系都進的去了。 01/30 17:59

推 gogoegg     : 馬英九時代 雞排一塊20元?????? 01/30 18:00

→ gogoegg     : 我李登輝時代上大學 一塊就35了 01/30 18:00

→ GoGoJoe     : 李登輝時 雞排開始在學校圍牆流行 我怎麼記得不只20 01/30 18:00

→ GoGoJoe     : 對啊 35 本來要打35 01/30 18:00

→ frankie30432: 2015年雞排20元 你賣我 01/30 18:01

噓 sanders     : 某樓的物價只有雞排嗎?還有去過韓國會覺得台灣物價 01/30 18:01

→ GoGoJoe     : 兩個gogo異口同聲 01/30 18:01

→ sanders     : 低..幾年期去韓國吃燒烤一個人快3000台票 小店而已 01/30 18:01

噓 flyidiot    : 一樣追不上房價漲幅 人民一樣苦哈哈 01/30 18:02

推 terminator3 : 噓的應該都文組 可憐啊 01/30 18:02

→ GoGoJoe     : 我記得國中圍牆因為偷買雞排加高 自此變明星國中 01/30 18:02

推 badgreen    : 馬囧時代打工一小時是吃不起麥當勞套餐的，月薪就 01/30 18:03

→ badgreen    : 不用提了吧 01/30 18:03

→ GoGoJoe     : 文組可以賣雞排啊 共享GDP榮景 01/30 18:03

→ sanders     : 實質薪資倒退到2003年 但是屌打2008~2016.... 01/30 18:03

推 nznz        : 韓國影劇娛樂那麼強 大家小心一點吧 小心被反超 01/30 18:04

推 johnny9667  : 事實就是:中國跌倒，台灣吃飽。 01/30 18:04

→ GoGoJoe     : 馬時代時薪80吧 大學65 現在打工族真的很爽 01/30 18:05

→ sanders     : 韓國經濟最重要的也是半導體 娛樂業養不活百萬人 01/30 18:05

推 makoto1982  : 以薪資中位數 台灣2022全體是50.6萬 主要是餐飲住宿 01/30 18:05

→ makoto1982  : 跟美容美髮這些服務業拉低 像電力與燃氣中位數108.3 01/30 18:05

推 badgreen    : 對，韓國的文娛很利害 01/30 18:05

→ makoto1982  : 萬 金融業中位數102萬 01/30 18:05

推 piliwu      : 台大姐妹花雞排我記得是40元，哪來20元 01/30 18:05

→ GoGoJoe     : 小國好聽是要懂得站隊，不好聽是要當牆頭草。 01/30 18:05

→ goodjop     : 不用講房價 哪個時代都一樣 40年前200萬一棟透天也 01/30 18:05

→ goodjop     : 是嫌貴 01/30 18:06

噓 Tigerman001 : 韓國物價房價低？ 01/30 18:06

→ GoGoJoe     : 看看由古至今的朝鮮半島就知道了。 01/30 18:06

→ goodjop     : 要問自己為什麼賺錢速度比別人慢 01/30 18:06

→ GoGoJoe     : 40年前不是房價貴 是利率貴 很多繳不起又賣掉的 01/30 18:07

推 piliwu      : 韓國把娛樂產業全都左膠化迎合好萊塢而已 01/30 18:07

→ piliwu      : 本質上跟台灣本土劇沒差多少 01/30 18:08

推 piliwu      : 靠那種產業遲早要跨 01/30 18:08

推 badgreen    : 但是包裝的很好啊，包裝是很重要的，東.南亞都吃的 01/30 18:09

→ badgreen    : 開 01/30 18:09

推 mb          : 窮的只剩房產還在洋洋得意..北七 01/30 18:10

推 nznz        : 可是還沒垮 01/30 18:11

推 tsujishiori : 影視娛樂產業要是能成為一國經濟的支柱，日本早就 01/30 18:12

→ tsujishiori : 靠動漫拉動GDP成長了 01/30 18:12

→ carbooming  : 馬英九時代雞排20 真是噁心的造謠仔 01/30 18:12

推 as80110680  : 台灣GDP有七成都是靠外銷，還在吵房價真的笑死，魯 01/30 18:15

→ as80110680  : 蛇真的是連查資料的能力都沒有，難怪只能是魯蛇 01/30 18:15

推 lovefisk    : 看來房價漲的有理 續噴 01/30 18:17

噓 bj45566     : 韓國只會越輸越多啦，短期現象笑死 01/30 18:18

噓 dos01       : 雞排20前幾天才有隻在電蝦造謠而已 同樣的謠言又來 01/30 18:19

→ dos01       : 跟我說這不是特定族群在亂我不信 01/30 18:19

推 EKman       : 魯蛇以為大家都只剩房產還蠻好的，不要讓他們知道太 01/30 18:22

→ EKman       : 多 01/30 18:22

推 jexcel      : 每個人平均睪丸 01/30 18:22

推 cerwvk      : GDP超過, 不代表薪資中位數超過. 這應該一堆人不知. 01/30 18:23

→ cerwvk      : https://reurl.cc/065eE6 01/30 18:23

→ hicoy       : 雞排20是老李時代了 ptt都老人 沒那麼好騙拉 01/30 18:23

→ cerwvk      : https://www.nts.go.kr/search/search.jsp 01/30 18:23

→ cerwvk      : 直接到韓國政府網站找, 只是找不到2022年的中位數. 01/30 18:24

→ cerwvk      : 等懂韓文的提供2022年的薪資中位數資料. 01/30 18:25

→ jamesLD     : 超韓趕美 01/30 18:26

→ cerwvk      : 炒房可以提升GDP, 這件事應該沒人不知道吧? 01/30 18:26

→ cerwvk      : 韓國薪資中位數, 沒意外的話, 還是完勝台灣. 01/30 18:28

推 KadourZiani : 終於贏韓國了 01/30 18:28

→ hicoy       : 人均輸了 要開始找別的數字來比了XD 01/30 18:29

推 bj45566     : 韓國房價也是高的嚇人尤其首爾特別市，去年媒體拼命 01/30 18:30

→ bj45566     : 報韓國房價大跌其實也才修正 5% 左右 01/30 18:30

推 rewisyoung  : 台灣的魯蛇到了韓國日本一樣買不起房 都市蛋黃區沒 01/30 18:31

→ rewisyoung  : 一個國家是便宜的 01/30 18:31

→ cerwvk      : GDP跟一般人沒啥關係, 薪資收入才是真的. 01/30 18:32

→ cerwvk      : 第一直覺先看台灣是不是贏了韓國薪資中位數. 01/30 18:32

→ cerwvk      : 口袋沒贏過韓國,  有用?  所以特別去找2022年數據. 01/30 18:34

→ billionaire : 猛 01/30 18:34

推 Aliensoul   : 20年來經濟最好 五毛氣哭 01/30 18:34

→ hicoy       : 考慮物價好了 花費多少才是真的 01/30 18:35

→ hicoy       : 首爾房價也不便宜 01/30 18:36

→ hicoy       : 薪資高物價更高也沒用 01/30 18:36

→ borriss     :  馬的雞肉片跟雞排分不清嗎 01/30 18:37

推 cerwvk      : YES. 所以懂韓文+中文+願意找經濟數據的? 難... 01/30 18:37

→ cerwvk      : 所以就會看到一堆人亂說, 靠感覺. 01/30 18:38

噓 e44444      : 馬時代物價低薪水也低，22k還能的諾貝爾獎擂 01/30 18:38

→ cerwvk      : 以為GDP贏過韓國, 就等於薪資贏過韓國, 就一堆了. 01/30 18:38

→ cerwvk      : 更不用說物價的影響問題. 01/30 18:39

噓 da2286      : 最近網軍策略改了，改成評論故意愚笨醜化執政黨，突 01/30 18:41

→ da2286      : 顯反對黨的愚昧及執政黨的無辜，以為鄉民看不懂！ 01/30 18:41

推 bj45566     : 馬陰犬執政八年台灣的經濟、國防被快速掏空，連紫 01/30 18:41

→ bj45566     : 光這種下三濫公司都可以來台灣睥睨羞辱台灣體質優良 01/30 18:41

→ bj45566     : 前景光明的公司 01/30 18:41

推 yau945      : 關起門來自嗨，以為自己都是世界第一 01/30 18:41

推 fg008kimo   : 所以有人體感兩邊都生活過? 說台灣能存比較多錢嗎 01/30 18:41

→ fg008kimo   : 我是很懷疑 01/30 18:42

推 simon81345  : 台灣厲害的是GDP比人家好，但薪水卻是末段班... 01/30 18:42

推 frozenmoon  : 欸不是 為什麼馬英九執政那8年可以落後韓國這麼多? 01/30 18:42

推 cerwvk      : GDP無感的討論文章.   真的很多.   只是一堆人忘了? 01/30 18:43

→ hicoy       : 是說有種東西PPP 不過你高興就好XD 01/30 18:44

推 yan2626     : 好棒喔 跟世界第三有錢一樣 01/30 18:44

推 ju06080719  : 男生女生平均一顆蛋蛋 01/30 18:44

→ stock01     : 韓國的薪資統計只算正職，只要是約聘類都不算。韓 01/30 18:45

→ stock01     : 國有四分之一左右的勞工非正職，薪水2-4萬台幣。 01/30 18:45

→ stock01     : 實際薪資水平韓國不會比台灣好到哪 01/30 18:46

→ borriss     :  南韓貿易逆差那麼慘了 匯率自然也差啊(X 01/30 18:46

推 Uncontinue  : 這裡吹韓國基本薪資高，但台灣漲基本薪資又是另一種 01/30 18:46

→ Uncontinue  : 推文了 不知道ID有沒有重複啦 只是很可笑 01/30 18:46

噓 jjoonnyy    : 我們有護國群山，房地產 01/30 18:47

→ dickey2     : 假象!只有台GG超越 01/30 18:48

推 eas06u4     : 八卦藍白拖崩潰 支那認知攻擊準備好了 01/30 18:48

推 cerwvk      : IMF  PPP: 韓國2,765,834  台灣1,621,702 01/30 18:48

→ stock01     : 韓國因為正職最低月薪這幾年被條太高，現在正職工 01/30 18:48

→ stock01     : 作大減。只要不是正職員工，沒有最低工資保障 01/30 18:48

推 bj45566     : 薪水末段班？台灣科技業薪水比日韓都高一截；在台灣 01/30 18:48

→ bj45566     : 要到科技業工作門檻比考上醫牙低 N 倍，意願才是關 01/30 18:48

→ bj45566     : 鍵因素啦 01/30 18:48

→ cerwvk      : 對了這是2022年的PPP. 01/30 18:49

推 tsujishiori : 樓上那是總量不是人均好嗎？沒看到中國還排第一？ 01/30 18:51

→ cerwvk      : 人均還沒找到.  你有找到也可以PO一下. 01/30 18:51

推 greyyouth   : 輸的時候酸 贏的時候也要酸  到底有完沒完? 有事嗎? 01/30 18:51

→ hicoy       : 他只是想找到贏的數字而已拉 不用太在意XD 01/30 18:53

推 cool10528   : 睪丸越來越腫 01/30 18:53

→ hicoy       : 有總量算不出人均XD 01/30 18:53

推 Uncontinue  : 他只是想弄出能酸台灣的數據而已 不用太意外 01/30 18:54

推 Lowpapa     : 扣掉房地產   一人不到1/4顆睪丸 01/30 18:54

推 tsujishiori : 人均PPP台灣69500，南韓53574。贏更多 01/30 18:54

→ cerwvk      : 那就不找了, 就當台灣薪水贏過韓國吧. 2022年懶了 01/30 18:54

→ cerwvk      : 2022年數據?  我只看到2021. 01/30 18:54

→ cerwvk      : 如果是2022的人均PPP, 台灣真的不錯, 贏韓國. 01/30 18:55

推 piliwu      : ppp台灣贏韓國很多好嗎 01/30 18:55

→ frankie30432: 好了拉 硬要找數據吵喔 01/30 18:57

→ borriss     :  補貼一堆要比PPP XD  某人油電雙漲還比PPP就很猛 01/30 18:57

→ borriss     :  結果他的PPP也只能切一段比 01/30 18:57

推 frozenmoon  : 奇怪 2008~2016的台灣人均GDP明明就落後南韓很多啊 01/30 18:58

推 Tsukasa0320 : 還不都房地產跟三角堆出來的 01/30 18:59

推 ohohohya    : 喔喔喔 又有新梗了 補貼一堆 01/30 19:00

噓 bj45566     : 有心人故意用 PPP 總量混淆人均，有夠惡毒陰險，金 01/30 19:01

→ bj45566     : 小刀的傳人？ 01/30 19:01

→ hicoy       : 真的是硬要找數字比  笑死 01/30 19:02

推 linwahaha   : 整串看下來發現有個見不得台灣好的小丑    ，笑死 01/30 19:02

噓 bj45566     : 台灣 PPP 人均一直是贏韓國一截的，裝傻裝成這樣也 01/30 19:02

→ bj45566     : 太假 01/30 19:02

→ borriss     :  以前有個歷史系院長 老是跳針經濟成長率10%那段 01/30 19:03

推 sanders     : PPP大概20年前就贏到現在 還越贏越多 01/30 19:04

→ cerwvk      : 台灣人均GDP將破3萬美元！為什麼一般人無感，一文「 01/30 19:05

→ cerwvk      : 「突破盲點」  https://reurl.cc/ROpo3G 01/30 19:05

推 piliwu      : 有人拿假數據在唬爛啊 01/30 19:06

→ cerwvk      : 看到GDP 就會質疑一下一般人的收入有跟著增加嗎? 01/30 19:06

→ pponywong   : XD 超過就說無感 你無感關我屁事 01/30 19:07

→ cerwvk      : 正常.   有關於GDP的討論也一堆. 01/30 19:07

推 piliwu      : 南韓物價比台灣貴很多哪可能GDP都輸了PPP還贏 01/30 19:08

→ pponywong   : 說那麼多 貼那麼多新聞 GDP有沒有超過南韓 01/30 19:08

→ piliwu      : 躺平當然無感關我們努力工作的人屁事 01/30 19:08

推 jizang      : 首度？ 01/30 19:09

→ cerwvk      : 你前面有看到我否認台灣GDP贏過南韓嗎? 01/30 19:09

→ pponywong   : 連美國都會有街友了 so what? 你貼個街友圖 01/30 19:09

→ pponywong   : 美國經濟就爛喔 01/30 19:09

→ pponywong   : 很明顯台灣這幾年就是靠半導體賺的 其他行業當然 01/30 19:11

→ pponywong   : 沒感覺 你沒賺到 關我屁事 01/30 19:11

→ pponywong   : 還是哪天賣檳榔口香糖的 也來喊台灣經濟成長無感 01/30 19:13

→ pponywong   : 人家台積發哥都漲幾倍了 還是有人拿大同華映來講 01/30 19:15

→ pponywong   : 對對對 大同股價都沒漲 台灣經濟都假的 爽了吧 01/30 19:16

噓 kyo38390    : 紅明顯 韓國房地產也不是開玩笑的高 01/30 19:16

噓 stoke4096   : 韓國房地產比我們還誇張耶 01/30 19:18

→ pponywong   : 端盤子的收入沒漲檢討自己好嗎 不要檢討數字 01/30 19:18

→ MacD89      : ppp早就贏南韓很久了 馬英九時代就贏了呀 01/30 19:19

推 lpsa        : 好 01/30 19:20

→ MacD89      : 現在是連人均GDP都贏了 吉尼係數也沒太大變化 01/30 19:21

推 sunjd1      : 笑死人了，結果一堆台灣人一個月連四萬塊，韓國最低 01/30 19:23

→ sunjd1      : 薪資都不到 01/30 19:23

→ MacD89      : 2021年還是0.341比2009年還好 01/30 19:24

→ MacD89      : 所以最佳解就是白天在韓國賺錢 下班回台灣消費呀 01/30 19:24

→ MacD89      : 有誰辦得到? 辦不到的話韓國最低薪資比台灣高有個屁 01/30 19:25

→ MacD89      : 用 韓國賺的錢又不能在台灣消費 01/30 19:25

推 f204137     : 這幾年無感要檢討自己吧 更多人悶聲發大財 01/30 19:25

→ MacD89      : 周子瑜可能辦得到啦 把錢匯回來給家人用 01/30 19:26

推 ksguo073    : 拍謝 我拉低了 不好意思 01/30 19:27

推 johnny9667  : 說台灣GDP靠房地產才贏的人是不是以為韓國房價很低? 01/30 19:28

推 tsujishiori : 台灣製造業創造外匯收入能力比南韓強多了，以內需 01/30 19:32

→ tsujishiori : 為主的服務業當然無感 01/30 19:32

推 frozenmoon  : 韓國房地產最神奇的是文在寅任內愈打房卻愈上漲 01/30 19:33

→ frozenmoon  : 南韓房地產失控飆！文在寅「打房21次」全失敗 01/30 19:33

→ frozenmoon  : https://finance.ettoday.net/news/1833143 01/30 19:33

推 saygogo     : 沒有意外就是兩邊一直糾纏了,互相不會啦開太遠 01/30 19:34

→ frozenmoon  : 文在寅打房越打越高！民團批：執政4年首爾房價翻倍 01/30 19:35

→ frozenmoon  : https://tinyurl.com/5aj2vx8c 01/30 19:35

推 bj45566     : 這幾年就算不是科技業的也可以靠投資半導體、資通 01/30 19:35

噓 a22530722   : 政府自慰文啦!民間無感啦!有本事鄉民一人配一個老婆 01/30 19:35

→ bj45566     : 產業的股票或貸款買房來分享經濟成長，自己對台灣( 01/30 19:35

→ bj45566     : 和美國)那麼沒信心就不要怨天尤人 01/30 19:35

推 loungelover : 股版正常多了 八卦版這種台超韓文章早就被噓死 01/30 19:36

→ frozenmoon  : 欸不是 那以前人均GDP低於韓國時 不就更慘嗎? 01/30 19:37

→ loungelover : 不過還是有幾個八卦仔來被打臉了 01/30 19:37

噓 alptnh3     : 靠井噴的房地產吧… 01/30 19:37

推 bj45566     : 去年底韓國房價的確是跌了，不過就是小幅修正約 5% 01/30 19:37

→ bj45566     : ，比起文在寅時代連續飆漲的房價，韓國人一樣買不起 01/30 19:37

→ bj45566     : 房，尤其是首爾特別市的房子 01/30 19:37

推 cerwvk      : 一個國家  不是只有科技業吧. 所以各行各業都要考量 01/30 19:38

推 bj45566     : 漲 N 年每年 >50%，跌半年 <5% 韓國房地產也是這樣 01/30 19:39

→ bj45566     : 玩的啦 01/30 19:39

→ cerwvk      : 至於股票, 也算是其他行業的一個分享利潤的方式. 01/30 19:39

推 dos01       : 五毛真的很好笑 這裡是股版捏 股市從八千上萬八 01/30 19:40

→ tommyhlu    : 二十年看下來，結果完全都看美國態度。 01/30 19:40

→ dos01       : 這都在喊什麼無感 自己被割爛那就滾去自殺好嗎 01/30 19:40

→ cerwvk      : 但這個不是常規收入.  只能說是一個選擇. 01/30 19:40

→ loungelover : 還有幾個在吹韓國影視的 影視產值量體是有多大 01/30 19:40

推 bj45566     : 台灣這種人口少 GDP 高度依賴出口的經濟體本來就不 01/30 19:41

→ bj45566     : 可能雨露均沾，少畫不切實際的大餅 01/30 19:41

→ adairchang  : 平均一顆睪丸 01/30 19:42

→ cerwvk      : 所以也越來越多人出國打工啊. 實習生就在講了. 01/30 19:42

推 dos01       : 不求什麼神鬼操作 不用買最低賣最高 當初GG一張 01/30 19:42

→ dos01       : 300隨便買 線在野幾十%在賺 01/30 19:42

→ cerwvk      : 要畢業了, 選擇外國比較高的薪資工作去. 01/30 19:42

→ cerwvk      : 讓其他行業活不下去, 這個國家會比較好? 01/30 19:43

噓 richardckc  : 是想問大多數人真的有感嗎？ 01/30 19:43

推 mogason     : 終於贏韓國了，開心 01/30 19:44

→ cerwvk      : 或者台灣只需要半導體業, 其他行業的人外流就外流? 01/30 19:44

→ cerwvk      : 這才是正確的? 01/30 19:44

推 tsujishiori : 中國經濟的崛起也是20年前加入WTO靠美國扶植的 01/30 19:45

→ loungelover : 更何況大部分人看韓國影視是因為免費或低成本 高價 01/30 19:45

→ loungelover : 的車還是乖乖去貢獻歐日GDP啦 01/30 19:45

推 bj45566     : 鄧小平都說過了，跟著美國屁股的國家都會發財，中 01/30 19:46

→ bj45566     : 國有那 30 年改革開發盛世也是美國滋養的，是小學 01/30 19:46

→ bj45566     : 生發春夢幻想什麼「中華民族的偉大復興」、「戰螂外 01/30 19:46

→ bj45566     : 交「 01/30 19:46

→ bj45566     : 」,... 自己要和美國對做才讓美國翻臉陪葬了中國的 01/30 19:46

→ bj45566     : 經濟前景 01/30 19:46

推 kyo38390    : 產業外流是一件事 但如何盡量做高產值的產業才是該 01/30 19:48

→ kyo38390    : 努力的地方 對岸的”騰籠換鳥”也是相同的套路 01/30 19:48

→ cerwvk      : 全民玩股, 其實也很不正常. 沒人發現? 01/30 19:48

噓 yes920101   : 我大蕃薯不愧是亞洲四小龍 01/30 19:48

推 loungelover : 買日本動漫宅物的都比韓迷妹去貢獻偶像錢多太多了 01/30 19:50

→ loungelover : 日本動漫都苦哈哈了更何況韓 01/30 19:50

推 adagiox     : 其他行業有人會收嗎 科科 01/30 19:50

→ borriss     :  南韓前陣子不是在瘋買特斯拉(咦 01/30 19:51

→ cerwvk      : 跟實習生閒聊, 現在的大學畢業生, 很多人打算出國工 01/30 19:52

推 z1231002    : 呆丸NO1 01/30 19:52

→ cerwvk      : 作.  跟以前的畢業生, 真的有不一樣的想法了. 01/30 19:52

→ adagiox     : 出國打工風潮都多久了 去澳洲屠宰場工作隨便都超過 01/30 19:54

→ adagiox     : 台灣系統廠了 01/30 19:54

推 bj45566     : 講白點，韓國文創產業發展的很用力成果也算不錯， 01/30 19:55

→ bj45566     : 但這廿年來韓國所有影視文創賺的的錢加總起來還遠 01/30 19:55

→ bj45566     : 比不上 J.K. 羅琳一個人讓英國賺到的錢 01/30 19:55

→ adagiox     : 本來在台灣他們也找不到什麼好工作 01/30 19:55

推 k798976869  : 台灣太小了 又沒天然資源 有一個明星產業 半導體業 01/30 19:55

→ k798976869  : 幫忙賺外匯就很好惹 01/30 19:55

→ adagiox     : 還不如就讓他們去澳洲殺牛 台灣引進外勞取代算了 01/30 19:55

→ cerwvk      : 不是短期那種啦, 是打算到外國工作, 沒啥事不回台灣 01/30 19:55

→ adagiox     : 結果現在硬要卡外勞 阻礙發展 真的沒道理 01/30 19:56

推 frozenmoon  : 那就是有能力長期在國外工作的人 01/30 19:56

→ borriss     :  之前媒體吹兩百萬台勞在中國都沒怕過了 01/30 19:56

推 tsujishiori : 真正有能力出國工作的畢業生也不會靠北GDP成長無感 01/30 19:56

